volume,sub_volume,sub_volume_note,author,section,work,work_note,work_section,book,book_note,chapter,paragraph,sub_paragraph,page,type,fragment_number,fragment_letter,fragment_note,witness,text,translation,commentary,note
"Volumen primum",,,ACUSILAUS,"ACUSILAI FRAGMENTA",ΓΕΝΕΑΛΟΓΙΑΙ,,,,,,,,100,fragment,1,,,"Plato Sympos. p. 178. B (quem locum Stobæus excerpsit in Eclog. phys. 1, p. 22):","Ἡσίοδος πρῶτον μὲν Χάος γενέσθαι φησὶν (Stob. Φησὶ γίγνεσθαι) ... μετὰ τὸ Χάος δύο τούτω γενέσθαι, Γῆν τε καὶ Ἔρωτα. ... Ἡσιόδῳ δὲ καὶ Ἀκουσίλαως ὁμολογεῖ. Οὕτω πολλαχόθεν ὁμολογεῖται ὁ Ἔρως ἐν τοῖς πρεσβυτάτοις εἶναι (Stob. Ἀκουσ. ξύμφησιν, ἐν τοῖς πρεσβ. εἶναι), πρεσβύτατος δὲ (Stob. τε) ὢν, μεγίστων ἀγαθῶν ἡμῖν αἴτοις ἐστί.","Hesiodus principio Chaos exstitisse dicit ... post Chaos hæc duo exstitisse, Terram atque Amorem. ... Acusilaus quoque cum Hesiodo consentit. Atque ita passim, Amorem ex antiquissimis esse, conceditur. Quum vero talis sit, maximorum bonorum nobis est causa.",,
"Volumen primum",,,ACUSILAUS,"ACUSILAI FRAGMENTA",ΓΕΝΕΑΛΟΓΙΑΙ,,,,,,,,100,fragment,1,,,"Scholiastes Theocriti iin argumento Idyllii XIII:","Ἡσίοδος Χάους καὶ Γῆς (Ἔρωτα υἱὸν λέγει) ... Ἀκουσίλαος Νυκτὸς καὶ Αἰθέρος.","Hesiodus Amorem Chai et Terræ, Acusilaus Noctis et Ætheris filium esse dicit.",,
"Volumen primum",,,ACUSILAUS,"ACUSILAI FRAGMENTA",ΓΕΝΕΑΛΟΓΙΑΙ,,,,,,,,100,fragment,1,,,"Damascius περὶ αῤχῶν c. 14, p. 257. in Wolfii Anecdot. Græc. t. III:","Ἀκουσίλαος Χάος μὲν ὑποτίθεσθαί μοι δοκεῖ τὴν πρώτην ἀρχὴν, ὡς πάντη ἄγνωστον· τὰς δὲ δύο μετὰ τὴν μίαν· Ἔρεβος μὲν, τὴν ἄῤῥενα, τὴν δὲ θήλειαν, Νύκτα· ταύτην μὲν ἀντὶ ἀπειρίας, ἐκείνην δὲ ἀντὶ πέρατος, Ἐκ δὲ τούτων φημὶ μιχθέντων Αἰθέρα γενέσθαι, καὶ Ἔρωτα, καὶ Μῆτιν, τὰς τρεῖς ταύτας νοητὰς ὑποστάσεις.","Acusilaus Chaos statuere mihi videtur primum rerum principium, ut prorsus ignotum. Post hoc unum hæc duo; Erebum, principium masculinum, et Noctem, principium femininum, hoc pro infinito, illud pro finito. Ex horum commixtione ortos esse dico Ætherem, Amorem, Intelligentiam, tres illas, quæ mente percipiuntur, substantias.",,
"Volumen primum",,,ACUSILAUS,"ACUSILAI FRAGMENTA",ΓΕΝΕΑΛΟΓΙΑΙ,,,,,,,,100,fragment,2,,,"Etymol. M.:","Κοῖος· ὁ πατὴρ Λητοῦς· παρὰ τὸ κοεῖν, ὅ ἐστι νοεῖν καὶ συνιέναι, ὅ ἐστι συνετός. Κοῖόν θ ̓ Ὑπερίονά τ ̓ Ἰαπετόν τε (ex Hesiodi Theog. 134). Οἱ Αἰολεῖς τῷ κ ἀντὶ τοῦ ν κέχρηνται. Οὗτοι δὲ Τιτᾶνες καὶ Τιτανίδες καλοῦνται, ὡς Ἀκουσίλαος.","Cœus, pater Latonæ, sic nominatus a κοεῖν, quod idem est ac νοεῖν et συνιέναι (scire, intelligere), ita ut κοῖος sit quasi νοῖος prudens, intelligens. Nam Æoles litera κ pro ν utuntur. Hesiodus: Cœum et Hyperiona et Iapetum. Hi vero Titanes et Titanides vocantur, ut ait Acusilaus.",,
"Volumen primum",,,ACUSILAUS,"ACUSILAI FRAGMENTA",ΓΕΝΕΑΛΟΓΙΑΙ,,,,,,,,100,fragment,3,,,"Schol. Hesiod. Theog. 870, p. 169 a:","Ἀκουσίλαος τρεῖς ἀνέμους εἶναι φησὶ κατὰ Ἡσίοδον, βορᾶν, ζέφυρον, καὶ νότον. Τοῦ γὰρ ζεφύρου ἐπίθετον τὸ ἀργέστην φησίν.","Acusilaus tres ventos esse dicit secundum Hesiodum: boream, zephyrum, notum. Nam ἀργέστην (velocem, vel album, i. e. albas nubes in cœlo congerentem) ait zephyri epitheton esse.",,
"Volumen primum",,,ACUSILAUS,"ACUSILAI FRAGMENTA",ΓΕΝΕΑΛΟΓΙΑΙ,,,,,,,,100,fragment,4,,,"Schol. Nicandri Theriac. v. 11, p. 6:","Περὶ τῆς τῶν δακνόντων θηρίων γενέσεως, ὅτι ἐστὶν ἐκ τῶν Τιτάνων τοῦ αἵματος, παρὰ μὲν τῷ Ἡσιόδῳ οὐκ ἔστιν εὑτεῖν· Ἀκουσίλαος δέ φησιν ἐκ τοῦ αἵματος τοῦ Τυφῶνος πάντα τὰ δάκνοντα γενέσθαι.","Animalia, quæ morsu venenato lædunt, ex Titanum sanguine orta esse non legitur apud Hesiodum; Acusilaus vero ex Typhonis sanguine omnia animalia, quæ morsu vulnerant, nata esse dicit.",,
"Volumen primum",,,ACUSILAUS,"ACUSILAI FRAGMENTA",ΓΕΝΕΑΛΟΓΙΑΙ,,,,,,,,100,fragment,5,,,"Schol. Apollon. IV, 828:","Ἀκουσίλαος Φόρκυνος καὶ Ἑκάτης τὴν Σκύλλαν λέγει. ... Ἐν δὲ ταῖς μεγάλαις Ἠοίαις Φόρβαντος καὶ Ἑκάτης ἡ Σκύλλα.","Acusilaus Scyllam Phorcynis et Hecatæ filiam esse tradit; verum in Eœis magnis Scylla Phorbantis est ex Hecate.",,
"Volumen primum",,,ACUSILAUS,"ACUSILAI FRAGMENTA",ΓΕΝΕΑΛΟΓΙΑΙ,,,,,,,,100,fragment,6,,,"Strabo X, p. 472, D:","Ἀκουσίλαος ὁ Ἀργεῖος ἐκ Καβείρης καὶ Ἡφαίστου Κάμιλον λέγει. Τοῦ δὲ, τρεῖς Καβείρους, ὧν Νύμφας Καβειράδας.","Acusilaus Argivus ex Cabira et Vulcano natum ait Cadmilum, ex hoc tres Cabiros, ex his Nymphas Cabiridas.","V. Welcker. Tril. Æschyl. p. 219.",
"Volumen primum",,,ACUSILAUS,"ACUSILAI FRAGMENTA",ΓΕΝΕΑΛΟΓΙΑΙ,,,,,,,,100,fragment,7,,,"Scholia Homer. ad Odyss. K, 2, a Buttmanno ex Codd. Mss. edita:","Δευκαλίων, ἐφ ̓ οὗ ὁ κατακλυσμὸς γέγονε, Προμηθέως μὲν ἦν υἱὸς, μητρὸς δὲ ὡς πλεῖστοι λέγουσι Κλυμένης, ὡς δὲ Ἡσίοδος Πρυνείης, ὡς δὲ Ἀκουσίλαος Ἡσιόνης τῆς Ὠκεανοῦ καὶ τοῦ Προμηθέως.","Deucalio, sub quo diluvium, filius erat Promethei et, ut plurimi dicunt, Clymenæ, secundum Hesiodum vero Pandoræ; secundum Acusilaum natus est ex Hesione, Oceani filia, et ex Prometheo.","Sturz. pro Ἡσιόνης, quæ h. l. Oceani filia dicitur, legendum putat Ἀσίας et pro corrupto illo Πρυνείης reponi vult Πανδώρας.",
"Volumen primum",,,ACUSILAUS,"ACUSILAI FRAGMENTA",ΓΕΝΕΑΛΟΓΙΑΙ,,,,,,,,100,fragment,7,,,"Schol. Pind. Ol. 9, 70:","Κοινὰ τὰ περὶ Δευκαλίωνα καὶ Πύῤῥαν, καὶ ὅτι τοὺς λίθους κατόπιν ῥίπτοντες ἀνθρώπους ἐποίουν, μαρτυρεῖ Ἀκουσίλαος.","Tralaticia sunt illa de Deucalione et de Pyrrha, eosque lapides post tergum jacientes fecisse homines testatur Acusilaus.",,
