volume,sub_volume,sub_volume_note,author,section,work,work_note,work_section,book,book_note,chapter,paragraph,sub_paragraph,page,type,fragment_number,fragment_letter,fragment_note,witness,text,translation,commentary,note
"Volumen primum",,,CLIDEMUS,"CLITODEMI FRAGMENTA",ΑΤΘΙΣ,,,"LIBER PRIMUS",,,,,359,fragment,1,,,"Vetus Grammaticus Pausanias, ut Ruhnk. vidit collato Eustath. ad II. B, p. 361, in Biblioth. Coisliniana p. 603 (et ap. Bekkerum Anecdot. p. 326 sq.):","Ἄγραι, χωρίον ἔξω τῆς πόλεως Ἀθηνῶν, οὗ τὰ μικρὰ τῆς Δήμητρος ἄγεται μυστήρια, ἃλέγεται τὰ ἐν Ἄγρας, ὡς τὰ ἐν Ἀσκληπιοῦ. Φερεκράτης Γραυσίν· Εὐθὺς ὡς ἐκαθίζομεν ἐν Ἄγρας. Καὶ Ἀρτέμιδος τῆς Ἀγραίας αὐτόθι τὸ ἱερόν. Πλάτων Φαίδρῳ· ᾟ πρὸς τὸ τῆς Ἀγραίας διαβαίνομεν. Καὶ Δῆμος ἐν α' Ἀτθίδος· «Τὰ μὲν οὖν ἄνω τὰ τοῦ Ἰλισοῦ πρὸς αγορὰν Εἰληθυῖα· τῷ δ ̓ ὄχθῳ πάλαι ὄνομα τοῦτο, ὃ νῦν Ἄγρα καλεῖται, Ἑλικὼν, καὶ ἡ ἐσχάρα τοῦ Ποσειδῶνος τοῦ Ἑλικωνίου ἐπ ̓ ἄχρου.» Καὶ ἐν τῷ δ'· «Εἰς τὸ ἱερὸν τὸ τὸ μητρῷον τὸ ἐν Ἄγραις.»","Agræ, locus extra Athenarum urbem situs, ubi parva Cereris mysteria agu ntur, quæ vocantur mysteria ἐν Ἄγρας (in Agræ æde) eodem modo ac dicitur ἐν Ἀσκληπιοῦ (in Æsculapii æde). Pherecrates in Vetulis: «Simul atque consedimus in Agræ æde.» Dianæ quoque Agrææ ibi est templum. Plato in Phædro: «Ubi ad Agrææ templum transimus.» Et Clidemus libro primo: «Superiorem «Ilissi partem ad Agram si transieris, ad ripam offendes «montem illum, qui nunc dicitur Agra, olim Helicon, «et aram Neptuni Heliconii in vertice;» et libro quarto: «In templum Cereris matris, in Agris situm.»","Ruhnken. ad Timæum p. 223 restituit Κλείδημος pro Δῆμος; sed omittendum καί ante Κλειδ., quod in multis locis ex Κλει. in Κλείδημος ortum esse videtur. Sequentia Lenz. ita corrigere voluit: Τὰ μὲν οὖν ἄων τοῦ Ἰλισοῦ προσαγορεύουσιν Ἄγραν Εἰληθυίας. Siebelis hanc proponit emendationem (quam in versione sequuti sumus): Τὰ μὲν οὖν ἄνω τοῦ Ἰλισοῦ πρὸς Ἄγραν εἰ διήλυθας, ἐν τῇ ὄχθῃ ὄρος (sic apographum Ruhn.) τοῦτο, ὃ νῦν Ἄγρα καλεῖται,πάλαι Ἑλικὼν, καὶ ἡ ἐσχ. ... ἄκρου.—Sed in Εἰλήθυια latere videtur Ἑλικώνια, quare fortasse ita scribendum est: Τὰ μὲν οὖν ἀνώτερα τοῦ Ἰλισοῦ προσηγορεύετο Ἑλικώνια, τῷ δ ̓ ὄχθῳ πάλαι ὄνομα τούτῳ, ὃς (sic Bekker.) νῦν etc.",
"Volumen primum",,,CLIDEMUS,"CLITODEMI FRAGMENTA",ΑΤΘΙΣ,,,"LIBER PRIMUS",,,,,359,fragment,2,,,"Athen. XIV, 23, p. 660, D:","Ἐν τῷ πρώτῳ τῆς Ἀτθίδος Κλείδημος φῦλον ἀποφαίνει μαγείρων ἐχόντων δημιουργικὰς τιμὰς, οἷς καὶ τὸ πλῆθος ἐνεργεῖν ἔργον ἦν.","Primo libro Atthidis, tribum quamdam, ait Clidemus, coquorum fuisse, qui nomen et jura eorum habuissent, qui δημιουργοὶ vocabantur; illosque hoc curasse ut plebs rite sacrificaret.","Verbum ἐνεργεῖν corruptum esse videtur; Schweigh. legi vult εὐεργετεῖν: Siebelis οἷς καὶ  ὑπὲρ τοῦ πλήθους ἱερουργεῖν ἔργον ἦν, sive οἷς καὶ τὰ τοῦ πλήθους ἐνεργεῖν ἔργον ἦν.",
"Volumen primum",,,CLIDEMUS,"CLITODEMI FRAGMENTA",ΑΤΘΙΣ,,,"LIBER PRIMUS",,,,,359,fragment,3,,,"Athen. X, 7, p. 425, E:","Κλείδημος τοὺς μαγείρους Κήρυκάς φησι καλεῖσθαι.","Clidemus coquos, ait, præcones vocari.",,
"Volumen primum",,,CLIDEMUS,"CLITODEMI FRAGMENTA",ΑΤΘΙΣ,,,"LIBER PRIMUS",,,,,359,fragment,4,,,Harpocrat.:,"Μελανίππειον, Λυκοῦργος ἐν τῷ κατὰ Λυκόφρονος. Μελανίππου τοῦ Θησέως ἡρῷόν ἐστι, ὥς φησιν Ἀσκληπιάδης Τραγῳδουμένοις. Κλείδημος δ ̓ ἐν πρώτῃ Ἀτθίδος ἐν Μελίτῃ αὐτὸ εἶναι λεγει.","Melanippeum est Melanippi, qui Theseum patrem habuit, heroum, ut ait Asclepiades in Tragodumenis. Clidemus libro primo Atthidis id esse dicit in Melite demo.",,
"Volumen primum",,,CLIDEMUS,"CLITODEMI FRAGMENTA",ΑΤΘΙΣ,,,"LIBER PRIMUS",,,,,359,fragment,5,,,"Plutarch. Thes. 19, de Cretensi Thesei expeditione loquens, postquam Pherecydis, Demonis et Philochori exposuit sententias, hoc adjungit:","Ἰδίως δέ πως καὶ περιττῶς ὁ Κλείδημος ἀπήγγειλε περὶ τούτων, ἄνωθέν ποθεν ἀρξάμενος· ὅτι «δόγμα κοινὸν ἦν Ἑλλήνων, μηδεμίαν ἐκπλεῖν τριήρη μηδαμόθεν ἀνδρῶν πέντε (?) πλείονας δεχομένην· τὸν δὲ ἄρχοντα τῆς Ἀργοῦς Ἰάσονα μόνον περιπλεῖν, ἐξείργοντα τῆς θαλάσσης τὰ λῃστήρια. Δαιδάλου δὲ πλοίῳ φυγόντος εἰς Ἀθήνας, Μίνως, παρὰ τὰ δόγματα μακραῖς ναυσὶ διώκων, ὑπὸ χειμῶνος εἰς Σικελίαν ἀπηνέχθη, κἀκεῖ κατέστρεψε τὸ βίον. Ἐπεὶ δὲ Δευκαλίων ὁ υἱὸς αὐτοῦ, πολεμικῶς ἔχων πρὸς τοὺς Ἀθηναίους, ἔπεμψεν ἐκδιδόναι Δαίδαλον αὐτῷ κελεύων, ἢ τοὺς παῖδας ἀποκτενεῖν ἀπειλῶν, οὓς ἔλαβεν ὁμήρους ὁ Μίνως· τούτῳ μὲν ἀπεκρίνατο πρᾴως ὁ Θησεὺς, παραιτούμενος ἀνεψιὸν ὄντα Δαίδαλον, κἀκείνῳ κατὰ γένος προσήκοντα, μητρὸς ὄντα Μερόπης τῆς Ἐρεχθέως, αὐτὸς δὲ ναυπηγίᾳ ἐπεβάλετο, τῇ μὲν ἐν Θυμαιταδῶν αὐτόθι, μακρὰν τῆς ξενικῆς ὁδοῦ, τῇ δὲ διὰ Πιτθέως ἐν Τροιζῆνι, βουλόμενος λανθάνειν. Γενομένων δὲ ἑτοίμων, ἐξέπλευσε, τόν τε Δαίδαλον ἔχων καὶ φυγάδας ἐκ Κρήτης καθηγεμόνας, οὐδενὸς δὲ προειδότος, ἀλλὰ ναῦς φιλίας οἰομένων τῶν Κρητῶν προσφέρεσθαι, τοῦ λιμένος κρατήσας, καὶ ἀποβὰς ἔφθασεν εἰς τὴν Κνωσσὸν παρελθὼν, καὶ μάχην ἐν πύλαις τοῦ Λαβυρίνθου συνάψας, ἀπέκτεινε τὸν Δευκαλίωνα καὶ τοὺς δορυφόρους. Ἐν δὲ τοῖς πράγμασι τῆς Ἀριάδνης γενομένης, σπεισάμενος πρὸς ἀυτὴν, τούς τε ἠϊθέους ἀνέλαβε, καὶ φιλίαν ἐποιήσατο τοῖς, Ἀθηναίοις πρὸς τοὺς Κρῆτας, ὀμόσαντας ημδέποτε πολέμου κατάρξειν.»","Diverso modo et diffuse de his Clidemus disseruit, alte repetens, decretum fuisse Græcorum commune, ne quo navigaret triremis ulla, quæ plus quinque (quinquaginta) viris caperet, sed soli navis Argûs duci Iasoni (licuisse majori navi) circum vehi ad latrocinia mari summovenda. Quum Dædalus autem navigio perfugisset Athenas, Minoa, qui præter decreta persequeretur eum longis navibus, in Siciliam tempestate ejectum vitæ ibi finem fecisse. Postquam vero filius ejus Deucalion, infensus Atheniensibus, per legatos dedi sibi depoposcisset Dædalum, alioqui, quos accepisset obsides Minos, pueros interfecturum se denuntians, leniter ei respondisse Thesea, eam afferentem excusationem quod consobrinus suus esset Dædalus et sanguine junctus, cujus esset mater Erechthei filia Merope; sed ædificare instituisse classes, alteram in Thymætadaium demo ibidem procul via publica, alteram per Pitthea Trœzene, quo rem occultam haberet. Omnibus comparatis eum solvisse, Dædalumque et exules Cretenses secum traxisse duces, atque exspectante nemine, sed naves pacatas arbitrantibus advenire Cretensibus, portum occupavisse, et descensione facta contendisse cursu Gnossum, prælioque in porta Labyrinthi conserto, Deucalionem cum satellitibus confecisse. Quum vero regni procurationem suscepisset Ariadna, fœdere cum ea icto, impuberes eum recepisse, amicitiamque cum Atheniensibus Cretenses junxisse, juratos, nunquam se bellum cum iis commissuros esse.","Reiskius, Leopoldus et Huttenus pro ὄντι ante Μερόπης; scribi voluerunt ὄντα: sed quum κἀκείνῳ ad Theseum referri possit, ut monet Siebelis, ista emendatio non est necessaria.",
"Volumen primum",,,CLIDEMUS,"CLITODEMI FRAGMENTA",ΑΤΘΙΣ,,,"LIBER PRIMUS",,,,,360,fragment,6,,,"Plutarchus Thes. c. 26 Leop., c. 27 Hutt. pergit:","Ἱστορεῖ δὲ Κλείδημος, ἐξακριβοῦν τὰ καθ ̓ ἕκαστα βουλόμενος, τὸ μὲν εὐώνυμον τῶν Ἀμαζόνων κέρας ἐπιστρέφειν πρὸς τὸ νῦν καλούμενον Ἀμαζόνειον, τῷ δὲ δεξιῷ πρὸς τὴν Πνύκα κατὰ τὴν Χρύσαν ἥκειν. Μάχεσθαι δὲ πρὸς τοῦτο τοὺς Ἀθηναίους ἀπὸ τοῦ Μουσείου ταῖς Ἀμαζόσι συμπεσόντας· καὶ τάφους τῶν πεσόντων περὶ τὴν πλατεῖαν εἶναι τὴν φέρουσαν ἐπὶ τὰς πύλας παρὰ τὸ Χαλκώδοντος ἡρῷον, ἃς νῦν Πειραϊκὰς ὀνομάζουσι. Καὶ ταύτῃ μὲν ἐκβιασθῆναι μέχρι τῶν Εὐμενίδων, καὶ ὑποχωρῆσαι ταῖς γυναιξίν· ἀπὸ δὲ Παλλαδίου καὶ Ἀρδηττοῦ καὶ Λυκείου προσβαλόντας ὤσασθαι τὸ δεξιὸν αὐτῶν ἄχρι τοῦ στρατοπέδου, καὶ πολλὰς καταβαλεῖν. Τετάρτῳ δὲ μηνὶ συνθήκας γενέσθαι διὰ τῆς Ἱππολύτης· Ἱππολύτην γὰρ οὗτος ὀνομάζει τὴν τῷ Θησεῖ συνοικοῦσαν, οὐκ Ἀντιόπην.","Scribit Clidemus, singula exsequi ad unguem laborans, sinistrum Amazonum cornu ad Amazonion (ut nunc vocatur) declinasse, dextrum secundum Chrysam ad Pnycem pertinuisse. Conflixisse cum hoc Athenienses, a Museo concurrentes cum Amazonibus. Sepulchra esse cæsorum in platea, quæ fert ad portam secundum Chalcodontis fanum, quam Piraicam nunc nominant. Ibi Athenienses pulsos fuisse usque ad Eumenidum templum, et terga feminis dedisse. A Palladio vero et Ardetto et Lyceo invectos pepulisse dextrum earum cornu usque ad castra multasque stravisse. Quarto mense ictum Hippolyta interprete foedus. Hippolytam enim hic eam, quæ cum Theseo consueverit, non Antiopam appellat.","Non est cur Reiskii emendationem recipiamus, qui χρυσᾶν Νίκην pro Χρύσαν ἥκειν et ὤσασθαι τὸ δεξιὸν pro ὠσ. τὸ εὐώνυμον; sed recte idem restituisse videtur articulum τάς post ἐπὶ τὰς πύλας.",
"Volumen primum",,,CLIDEMUS,"CLITODEMI FRAGMENTA",ΑΤΘΙΣ,,,"LIBER PRIMUS",,,,,360,fragment,7,,,"Constantin. Porphyrog. De themat. lib. 2, them. 2, in Scriptor. Byz. vol. 5, p. 17 ed. Veuet. 1729:","Λέγεται δὲ καὶ Μακεδονίας μοῖρα Μακετία, ὡς Μαρσύας ἐν πρώτῳ Μακεδονικῶν· ... ἀλλὰ καὶ τὴν ὅλην Μακεδονίαν Μακετίαν οὖδεν ὀνομαζομένην Κλείδημος ἐν πρώτοις Ἀτθίδος· «Καὶ ἐξῳκίσθησαν ὑπὲρ τὸν Αἰγιαλὸν ἄνω τῆς καλουμένης Μακετίας.»","Appellatur etiam Macedoniæ pars Macetia, ut Marsyas libro primo Macedonicorum. Sed etiam omnem Macedoniam appellare Macetiam consuevit Clidemus in prioribus libris Atthidis: «Atque migrarunt supra Ægialum in superiorem partem Macetiæ.»","«Fortasse Clidemus scripserat ἐξ. ὑ. τ. A. εἰς τὰ ἄνω etc. et dixerat de illa colonia, quam Pausan. V, 1, 3, Pæonem narrat ex Elide in Macedoniam duxisse, vel de iis, qui ex Argolide cum Carano in Macedoniam migrarunt.» Siebelis.",
"Volumen primum",,,CLIDEMUS,"CLITODEMI FRAGMENTA",ΑΤΘΙΣ,,,"LIBER TERTIUS",,,,,360,fragment,8,,,"Photii Lex.:","Ναυκραρία· τὸ πρότερον οὕτως ἐκάλουν, Ναυκραρία καὶ Ναύκραρος. Ναυκραρία μὲν ὁποῖόν τι ἡ συμμορία καὶ ὁ δῆμος, ναύκραρος δὲ ὁποῖόν τι ὁ δήμαρχος, Σόλωνος οὕτως ὀνομάσαντος, ὡς καὶ Ἀριστοτέλης φησίν· ἐν τοῖς νόμοις δὲ ἄν τις ναυκραρίας ἀμφισβητῇ καὶ τοὺς ναυκράρους τοὺς κατὰ ναυκραρίαν. Ὕστερον δὲ ἀπὸ Κλεισθένους δῆμοί εἰσι, καὶ δήμαρχοι ἐκλήθησαν ἐκ τῆς Ἀριστοτέλους πολιτείας, ὃν τρόπον διέταξε τὴν πολιτείαν ὁ Σόλων. Φυλαὶ δὲ ἦσαν τέσσαρες, καθάπερ πρότερον, καὶ φυλοβασιλεῖς τέσσαρες· ἐκ δὲ τῆς φυλῆς ἑκάστης ἦσαν νενεμημέναι τριττύες μὲν τρεῖς, ναυκραρίαι δὲ δώδεκα καθ ̓ ἑκάστην. Ὁ Κλείδημος ἐν τῇ τρίτη φησὶν, «ὅτι Κλεισθένους δέκα φυλὰς ποιήσαντος ἀντὶ τῶν τεσσάρων, συνέβη καὶ εἰς πεντήκοντα μέρη διαταγῆναι· αὐτοὺς δὲ ἐκάλουν ναυκραρίας, ὥσπερ νῦν εἰς τὰ ἑκατὸν μέρη διαιρεθέντα καλοῦσι συμμορίας.»","Naucraria. Prius nomina naucraria et naucrarus in usu erant. Naucraria idem fere quod symmoria et demus; naucrarus idem fere significat, quod demarchus, Solone sic nominante, ut Aristoteles quoque tradit: dubitaveris vero, num in legibus naucrarias et naucraros secundum naucrarias creandos constituerit. Postea a temporibus Clisthenis in usu erant vocabula demi et demarchi (quod docet Aristoteles in Politia), servata ea reipublicæ ratione, quam Solon constituerat. Tribus erant quatuor, ut antea, tribuum reges item quatuor; singulæ tribus in ternas trittyes et duodenas naucrarias divisæ erant. Clidemus libro terlio dicit: «Quum Clisthenes decem tribus substituisset quattuor illis, quæ antea fuerant, factum est, ut in quinquaginta quoque partes Athenienses dividerentur, eosque ita divisos vocabant naucrarias, ut nunc in centum partes distributos vocant symmorias.»","In postremis Siebelis scribere vult: ἐις τὰ ἑκατὸν μέρη διαιρεθέντας καλοῦσι. Equidem malim αὐτοὺς vocem mutari in ταῦτα. De re cf. C. Hermann. Antiquit. gr. 99, 5 et quos ibi laudat.",
"Volumen primum",,,CLIDEMUS,"CLITODEMI FRAGMENTA",ΑΤΘΙΣ,,,"LIBER QUARTUS","Vide locum libri quarti in fragm. 1.",,,,360,fragment,,,,,,,,
"Volumen primum",,,CLIDEMUS,"CLITODEMI FRAGMENTA",ΑΤΘΙΣ,,,"LIBER DUODECIMUS",,,,,361,fragment,9,,,Hesych.:,"Ἀγαμεμνόνια φρέατα. Ἱστοροῦσι τὸν Ἀγαμέμνονα περὶ τὴν Αὐλίδα καὶ πολλαχοῦ τῆς Ἑλλάδος φρέατα ὀρύξαι, καὶ Δῆμος δὲ ἐν τῇ δωδεκάτῃ τῆς Ἀτθίδος.","Putei Agamemnonii. Narrant Agamemnonem prope Aulidem et in multis Græciæ locis puteos fodisse, ut Clidemus libro duodecimo Atthidis.","Phavorinus eadem habet, nisi quod ὡς addit post καὶ Δῆμος δέ. Albertus scribi voluit Δήμων pro Δῆμος, Meursius in Lection. Theophr. in Gronovii Thes. Antiq, Gr. X, p. 647 proposuit Κλείδημος, quod probavit Siebelis: nos quoque hanc scripturam adoptamus, sed deletis καὶ quod ex ελει depravatum est, atque particula δὲ, assumto vero ὡς ex Harpocratione, legendum credimus: ὡς Κλείδημος ἐν κ. τ. λ. Omissa auctoris notitia hanc rem Eustath. ad Il. Δ, p. 461 Rom. paullo plenius exhibet : Ἀγαμεμνόνεια ᾄδονταί τινα φρέατα, ἐπεὶ περὶ Ἀττικὴν, φασὶ, καὶ ἐν Αυλίδι καὶ πολλαχοῦ τῆς Ἑλλάδος ὤρυξεν ὁ Ἀγαμέμνων φρέατα. Ex quo intelligitur, Siebelis ait, cur Clidemus in Atthide rem istam tetigerit: et forsan apud Hesychium inter Ἀγαμέμνονα et περὶ exciderunt hæc: ἐν τῇ Ἀττικῇ καί.",
