volume,sub_volume,sub_volume_note,author,section,work,work_note,work_section,book,book_note,chapter,paragraph,sub_paragraph,page,type,fragment_number,fragment_letter,fragment_note,witness,text,translation,commentary,note
"Volumen primum",,,DEMO,"DEMONIS FRAGMENTA",ΑΤΘΙΣ,,,"LIBRI QUARTI FRAGMENTUM",,,,,378,fragment,1,,,"Athen. III, 17, p. 96, D, E:","Δήμων ἐν τετάρτῳ Ἀτθίδος, «Ἀφείδαντά φησι βασιλεύοντα Ἀθηνῶν Θυμοίτης, ὁ νεώτερος ἀδελφὸς, νόθος ὢν, ἀποκτείνας, αὐτὸς ἐβασίλευσεν· ἐφ ̓ οὗ Μέλανθος Μεσσήνιος ἐκπεσὼν τῆς πατρίδος, ἐπήρετο τὴν Πυθίαν, ὅπου κατοικήσει. Ἡ δὲ ἔφη, ἔνθα ἂν ξενίοις πρῶτον τιμηθῇ, τοὺς πόδας αὐτῷ καὶ τὴν κεφαλὴν ἐπὶ τῷ δείπνῳ παραθέντων. Καὶ τοῦτ ̓ ἐγένετο αὐτῷ ἐν Ἐλευσῖνι· τῶν ἱερειῶν γὰρ τότε πάτριόν τινα ἑορτὴν ἐπιτελουσῶν, καὶ πάντα τὰ κρέα κατηναλωκυιῶν, τῶν δὲ ποδῶν καὶ τῆς κεφαλῆς ὑπολοίπων ὄντων, ταῦτα, τῷ Μελάνθῳ ἀπέστειλαν.»","Demon quarto libro Rerum Atticarum scribit: «Aphidantem, Atheniensium regem, junior frater Thymœtes, qui spurius erat, interfecit et regnum ipse occupavit. Quo regnante Melanthus Messenius, patria pulsus, quæsivit e Pythia, quonam habitatum concederet. Respondit illa, ubi primum pro hospitali munere pedes et caput ipsi in cœnam apponerentur. Id autem ei accidit Eleusine: quum enim ibi feminæ sacerdotes festum aliquem diem patrio more celebrarent, omnesque carnes absumsissent, et nihil nisi pedes et caput reliquum esset, hæc illæ Melantho miserunt.»",,
"Volumen primum",,,DEMO,"DEMONIS FRAGMENTA","FRAGMENTA INCERTAE SEDIS",,,,,,,,378,fragment,2,,,"Suidas v. Τριτοπάτορες:","Δήμων ἐν τῇ Ἀτθίδι φησὶν, ἀνέμους εἶναι τοὺς Τριτοπάτορας.","Demon in Atthide dicit, Tritopatores esse ventos.",,
"Volumen primum",,,DEMO,"DEMONIS FRAGMENTA","FRAGMENTA INCERTAE SEDIS",,,,,,,,378,fragment,3,,,"Plutarch. Thes. 19:","Δήμων δὲ καὶ τὸν Ταῦρον ἀναιρεθῆναί φησι τὸν τοῦ Μίνω στρατηγὸν, ἐν τῷ λιμένι διαναυμαχοῦντα, τοῦ Θησέως ἐκπλέοντος.","Demo ait Taurum Minois ducem commisso cum Theseo, qui solveret e portu, prœlio navali ab hoc interfectum esse.",,
"Volumen primum",,,DEMO,"DEMONIS FRAGMENTA","FRAGMENTA INCERTAE SEDIS",,,,,,,,378,fragment,4,,,"Plutarch. Thes. 23:","Ἄγουσι δὲ καὶ τὴν τῶν ὠσχοφορίων ἑορτὴν, Θησέως καταστήσαντος. Οὐ γὰρ ἁπάσας αὐτὸν ἐξαγαγεῖν τὰς λαχούσας τότε παρθένους, ἀλλὰ τῶν συνήθων νεανίσκων δύο θηλυφανεῖς μὲν ὀφθῆναι καὶ νεαροὺς, ἀνδρώδεις δὲ τὰς ψυχὰς καὶ προθύμους, λουτροῖς τε θερμοῖς καὶ σκιατροφίαις, καὶ ταῖς περὶ τὴν κόμην καὶ λειότητα καὶ χροιὰν ἀλοιφαῖς καὶ κοσμήσεσιν ὥς ἐστιν ἐξαλλάξαντα κομιδῆ, καὶ διδάξαντα φωνῆν καὶ σχῆμα καὶ βάδισιν ὡς ἔνι μάλιστα παρθένοις ὁμοιοῦσθαι, καὶ μηδὲν φαίνεσθαι διαφέροντας, ἐμβαλεῖν εἰς τὸν τῶν παρθένων ἀριθμὸν, καὶ διαλαθεῖν ἅπαντας. Ἐπεὶ δὲ ἐπανῆλθεν, αὐτόν τε πομπεῦσαι καὶ τοὺς νεανίσκους οὕτως ἀμπεχομένους, ὡς νῦν ἀμπέχονται τοὺς ὠσχοὺς φέροντες. Φέρουσι δὲ, Διονύσῳ καὶ Ἀριάδνῃ χαριζόμενοι, διὰ τὸν μῦθον, ἢ μᾶλλον, ὅτι συγκομιζομένης ὀπώρας ἐπανῆλθον. Αἱ δὲ δειπνοφόροι παραλαμβάνονται, καὶ κοινωνοῦσι τῆς θυσίας, ἀπομιμούμεναι τὰς μητέρας ἐκείνων τῶν λαχόντων (ἐπεφοίτων γὰρ αὐτοῖς ὄψα καὶ σιτία κομίζουσαι), καὶ μῦθοι λέγονται, διὰ τὸ κἀκείνας εὐθυμίας ἕνεκεν καὶ παρηγορίας μύθους διεξιέναι τοῖς παισί. Ταῦτα μὲν οὖν καὶ Δήμων ἱστόρηκεν.","Solemne celebrant Oschophoriorum ex Thesei instituto; neque enim omnes eum sorte lectas virgines ferunt eduxisse, sed familiares adolescentes duos: quorum, quum muliebri quidem vultu et florente, sed fortibus forent pectoribus et impigri, thermis, umbratili vita, et comæ lævoris colorisque caussa unctionibus atque comptu, impense mutaverat speciem et finxerat vocem, gestum et incessum, ut quam maxime virgines repraesentarent, neque usquam viderentur ab iis discrepare; hos inseruisse in virginum numerum, atque omnes fefellisse; postquam redux fuerit, et illum et adolescentes illos pompam duxisse eo quo nunc amiciantur cultu, qui palmites cum racemis ferant. Hos ferunt in Liberi patris et Ariadnæ honorem, propter fabulam: aut potius quod ea tempestate rediissent, qua colliguntur poma. Quæ cœnam ferunt feminæ, Deipnophoræ dictæ, assistunt et adhibentur sacrificio, illorumque sortitorum matres agunt: portaverunt enim iis obsonia et epulas. Fabulæ autem narrantur, eo quod et illæ leniendi liberos et erigendi caussa, fabulas iis recitaverint. Atque hæc Demon quoque prodidit.",,
"Volumen primum",,,DEMO,"DEMONIS FRAGMENTA","ΠΕΡΙ ΠΑΡΟΙΜΙΩΝ",,,,,,,,379,fragment,5,,,"Scholiast. Aristoph. Av. 301 ad illud Τίς γλαῦκ᾿ Ἀθήναζ᾿ ἤγαγε; hoc adnotavit:","Παροιμία δέ ἐστιν ἐπὶ τῶν μάτην ἐπισωρευόντων τινὰ ἐπὶ τοῖς προϋπάρχουσι. ... Δήμων δέ φησιν, ὅτι οὐ τοῦ ζῴου μόνον πληθύνοντος ἐν τῆ πόλει, ἀλλὰ καὶ τοῦ νομίσματος· καὶ ὅτι οὐκ ἐν ἀργύρῳ μόνῳ, ἀλλὰ καὶ ἐν χαλκῷ χαράσσουσι τὴν γλαῦκα· διὸ τὴν παροιμίαν εἰρῆσθαι.","Quis noctuam Athenas adduxit? Hoc proverbium de iis dicitur, qui, quæ adsunt, inutiliter accumulant. Demo ait, quia non modo avium illarum, sed etiam numorum magna esset in hac urbe multitudo, neque in solis argenteis numis, sed etiam in æreis noctuæ notam imprimi; propterea hoc proverbium dici solere.",,
"Volumen primum",,,DEMO,"DEMONIS FRAGMENTA","ΠΕΡΙ ΠΑΡΟΙΜΙΩΝ",,,,,,,,379,fragment,6,,,Hesych.:,"Οἰναῖοι τὴν χαράδραν· παροιμία, τιθεμένη ἐπὶ τῶν ἑαυτοῖς κακόν τι προσελκομένων. Φησὶ δὲ Δήμων, ὅτι τῆς Ἀττικῆς ἐστι τόπος Οἰνόη· οἱ δ ̓ ἐνταῦθα γεωργοῦντες, παροχετεύοντες τὴν ἄνω φερομένην χαράδραν, ἀρδεύειν τὰ δένδρα καὶ τὰς ἀμπέλους ἐπεχείρουν. Ὕδατος δὲ πολλοῦ γενομένου, συνέβη καταῤῥαγέντα τὸν ποταμὸν τῶν κτημάτων πολλὰ διαφθεῖραι, καὶ τῶν τόπων δὲ τοὺς κύκλους ἐγχῶσαι.","Œnœi torrentem. Hoc proverbium de iis dicitur, qui ipsi malum sibi parant. Ait autem Demo, Œnoen esse pagum Atticæ; hunc qui incolerent agricolas, per canalem deducentes torrentem de loco superiori, elaborasse ut arbores et vites irrigarent; quum vero aqua multum accrevisset, accidisse ut fluvius cum impetu delatus latifundia vastaret pagorumque circulos inundaret.","Phavorinus hæc repetivit. Idem proverbium explicatur a Zenobio V, 29 et Suida v. Οἰναῖοι τ. χαρ. Pro κύκλους Hesychii editores conjecerunt κοίλους seu κάρπους scribendum esse. Siebelis suspicatur, tales κύκλους intelligendos esse, quales fuerint veterum Britannorum, de quibus Strabo IV, p. 200 ita: Πόλεις δ ̓ αὐτῶν εἰσὶν οἱ δρυμοί· περιφράξαντες γὰρ δένδρεσι καταβεβλημένοις εὐρυχωρῆ κύκλον, καὶ αὐτοὶ ἐνταῦθα καλυβοποιοῦνται καὶ τὰ βοσκήματα κατασταθμεύουσιν.",
"Volumen primum",,,DEMO,"DEMONIS FRAGMENTA","ΠΕΡΙ ΠΑΡΟΙΜΙΩΝ",,,,,,,,379,fragment,7,,,"Photii Lex.:","Ὄνος ἄγων μυστήρια, Δήμων ἐπὶ τοῦ μύλου λέγεσθαί φησιν, ὅτι στεφανοῦσιν αὐτὸν τότε.","Asinus mysteria portans. Demo ait, hoc dici de lapide molari, quod eum coronis ornaverint eo tempore (in sacris Eleusiniis).","Eadem apud Suidam habes. Hesych.: Ὄνος, ὁ ἀνώτερος λίθος τοῦ μύλου.",
"Volumen primum",,,DEMO,"DEMONIS FRAGMENTA","ΠΕΡΙ ΠΑΡΟΙΜΙΩΝ",,,,,,,,379,fragment,8,,,"Photii Lex.:","Ἡ φανοῦ θύρα· Φανόν φησι Δήμων ὀβολοστάτην εἶναι, ἄλλως δὲ τυφλόν.","Phani janua. Phanum Demo dicit fuisse fœneratorem, alii vero cæcum.","Cf. Eustath. ad Hom., p. 1959: Φανίου θύρα, παροιμία ἐπὶ τῶν ψευδῶς προσποιουμένων θησαυρὸν ἑαυτοῖς ἀποκεῖσθαι. Zenob. Proverb. 4, 24 et Suidam h. v. Apud Photium pro ἄλλως scripsit Kuster ad Suid. ἄλλοι.",
"Volumen primum",,,DEMO,"DEMONIS FRAGMENTA","ΠΕΡΙ ΠΑΡΟΙΜΙΩΝ",,,,,,,,379,fragment,9,,,"Scholiastes Aristoph. Ran. 439, postquam proverbii ὁ Διὸς Κόρινθος alias attulit interpretationes, hoc addit:","Ὁ δὲ Διὸς Κόρινθος, παῖς Διὸς, βασιλεὺς Κορίνθου. ... Μεγαρέας φασὶ Κορινθίων ἀποίκους, καὶ πολλὰ τοῖς Κορινθίοις κατ ̓ ἰσχὺν τῆς πόλεως ὑπείκειν· ἄλλα τε γὰρ πλείονα τοὺς Κορινθίους προστάσσειν, καὶ τῶν Βακχιαδῶν εἴ τις τελευτήσαι (διῴκουν δὲ οὗτοι τὴν πόλιν), ἔδει Μεγαρέων ἄνδρας καὶ γυναῖκας, ἐλθόντας εἰς Κόρινθον, συγκηδεύειν τὸν νεκρὸν τῶν Βακχιαδῶν. Ὡς δὲ ὕβρεως οὐδὲν ἀπέλειπον οἱ Κορίνθιοι, τὰ δὲ τῶν Μεγαρέων ἔῤῥωτο, καὶ πρὸς ἐλπίσι τοῦ μηδὲν παθεῖν ἀποστάντας αὐτοὺς, ἀλλ ̓ ἀφεῖναι, πέμπουσι δῆτα πρέσβεις οἱ Κορίνθιοι, κατηγορήσοντας Μεγαρέων· οἳ προσελθόντες εἰς τὴν ἐκκλησίαν, ἄλλα τε πολλὰ διεξῆλθον, καὶ τέλος, δικαίως στενάξει ὁ Διὸς Κόρινθος, εἰ μὴ λάβοι δίκην παρ ̓ αὐτῶν. Ἐφ ̓ οἷς παροργισθέντες οἱ Μεγαρεῖς τοὺς πρέσβεις λίθοις ἔβαλον, καὶ μετὰ μικρὸν, ἐπιβοηθησάντων τινῶν τοῖς Κορινθίοις καὶ μάχης γενομένης, νικήσαντες, φυγῇ τῶν Κορινθίων ἀποφυγόντων ἐφαπτόμενοι, κτείνοντες ἅμα παίειν τὸν Διὸς Κόρινθον ἐκέλευον. Ὅθεν, φησὶν ὁ Δήμων, ἔτι καὶ νῦν ἐπὶ τῶν ἄγαν σεμνυνομένων, καὶ δειλῶς ἀπαλλαττόντων τὴν παροιμίαν ταύτην τετάχθαι.","Jovis Corinthus, Jovis filius, rex Corinthi. Aiunt, Megarenses, Corinthiorum colonos, in multis rebus Corinthiis propter civitatis eorum potentiam obtemperasse. Etenim tum alia officia iis injunxisse Corinthios, tum id, ut, si quis Bacchiadarum (hi urbis imperium tenebant) obiisset, Megarensium et viri et mulieres Corinthum proficiscerentur illique funus cum ipsis facerent. Sed quum Corinthii non desisterent a superbia, Megarenses vero majorem potestatem adipiscerentur atque sperarent, se impune defecturos esse, deseruerunt Corinthios. Miserunt tum Corinthii legatos, ad accusandos Megarenses; qui in concionem venientes quum alia multa admonuerunt, tum vero sub finem: jure gemiturum esse Jovis Corinthum, si pœnam de iis non sumerent. Qua oratione Megarenses irritati, legatos lapidibus statim incessiverunt atque paulo post, pugna inita, Corinthios, quibus nonnulli auxilio venerant, devicerunt in fugamque conjecerunt; fugientes autem quum consequuti essent, interfecerunt eos seque invicem adhortali sunt, ut verberarent Jovis Corinthum. Quare etiamnunc, ait Demo, de nimium jactantibus et ignave rem suam deserentibus usurpatur hoc proverbium.","Eadem leguntur apud Schol. ad Pind. Nem. VII, 155, unde a Francino in scholia Aristoph. illata sunt. Siebelis hunc locum ex Schol. in Platon. in Siebenkesii Anecd. Græc. ita emendavit: ... Τὰ δὲ τῶν Μεγαρέων ἔῤῥωτο καὶ πρὸς ἐλπίσιν τοῦ μηδὲν παθεῖν ἀποστάντας αὐτοὺς· Κορινθίων ἀφίστανται. Πέμπουσι δῆτα ....εἰ μὴ λήψονται δίκην παρ ̓ αὐτῶν. Ἐφ ̓ οἷς....τοὺς πρέσβεις παραχρῆμα λίθοις ἔβαλον, καὶ μετὰ μικρὸν... φυγῇ τῶν Κορινθίων ἀποχωρούντων ἐφαπτόμενοι... παίειν ἀλλήλοις ...ἐκέλεουν.",
"Volumen primum",,,DEMO,"DEMONIS FRAGMENTA","ΠΕΡΙ ΠΑΡΟΙΜΙΩΝ",,,,,,,,380,fragment,10,,,"Scholiast. Aristoph. Plut. 1000:","Πάλαι ποτ ̓ ἦσαν ἄλκιμοι Μιλήσιοι. Περὶ τῆς παροιμίας ταύτης Δήμων οὕτω φησί· τῶν Καρῶν περὶ τοῦ πολέμου πρὸς τοὺς Ἀμβρακιώτας βουλευσαμένων, ἀλκιμωτάτους ὄντας τῶν ἐν πολέμῳ γειτόνων, τίνας χρὴ ποιεῖσθαι συμμάχους, οἱ μὲν τοὺς Μιλησίους ἡγοῦντο δεῖν παρακαλεῖν· καὶ γὰρ εὐημέρουν τότε μάλιστα τῶν περιοίκων, καὶ διὰ τὸ γειτνιᾷν τῇ Καρίᾳ τὴν τούτων χώραν· οἱ δὲ διαλύσασθαι πρὸς τοὺς Πέρσας συνεβούλευον, τὴν τούτων ἀρχὴν μεγίστην γεγονέναι φάσκοντες, καὶ πάντων ἀλκιμωτάτους εἶναι, κρατοῦντας τῆς Ἀσίας. Ἔδοξεν οὖν τοῖς Καρσὶν ἐρωτῆσαι τὸν Ἀπόλλωνα ... Τὸν δὲ θεὸν ἀποκρίνεσθαι, Πάλαι ποτ ̓ ἦσαν ἄλκιμοι Μιλήσιοι. Τοῦ δὲ χρησμοῦ διαδοθέντος εἰς τὰς Ἀσιατίδας πόλεις, οἱ μὲν Μιλήσιοι τὴν προφῆτιν αἰτιασάμενοι διεφθάρθαι χρήμασιν ὑπὸ τῶν μηδιζόντων, πανδημεὶ [τοῖς καρσὶ βοηθήσαντες, καὶ] τοῖς Πέρσαις μετ ̓ ἐκείνων συμβαλόντες, σχεδὸν ἅπαντες ἀπέθανον. Τὸν δὲ χρησμὸν διὰ τὴν ἀλήθειαν εἰς παροιμίαν ἐλθεῖν.","Quondam fuere strenui Milesii. De hoc proverbio Demo ita scribit: Quum Cares ad lucum Jovis Labrandii (vel Stratii) de bello consultarent, alii Milesios censuerunt esse advocandos: eos enim auctoritate maxime valere omnium, qui circa habitarent, eorumque terram Cariæ esse vicinam. Alii suaserunt, ut cum Persis paciscerentur, eos maximum habere imperium dicentes, omniumque esse potentissimos, in quorum ditione esset Asia. Placuit igitur, ut Apollinem consulerent. Deus iis respondit: Fuere quondam strenui Milesii. Hoc oraculo per Asiæ urbes divulgato, Milesii sacerdoti exprobrantes, corruptam eam esse ab iis, qui Medis faverent, Caribus omni populo auxilio venerunt, atque Persas cum his aggressi, omnes fere cæsi sunt. Oraculum propter veritatem in proverbium abiit.","Pro Δάμων, quod vulgo hoc loco legitur, Siebelis bene reposuit Δήμων. Phavorinus v. Μιλήσιοι, qui eadem refert, eandem in auctoris nomine corruptelam exhibet. Narrantur vero h. l. eadem, quæ legimus apud Herodot. V, 118-120 et in Diodor. Exc. Vatican. p. 37 ed. Mai (p. 40 ed. Dindorf.). Quare Hemsterhusius ad Aristoph. l. l. pro: πρὸς τοὺς Ἀμβρακιώτας, quod nihili est, reponi jussit: πρὸς τῷ Λαβρανδέως ἄλσει i. e. ad lucum Jovis Labrandei. Equidem malim: πρὸς τῷ Διὸς Στρατιώτου (se. Ἱερῷ vel τεμένει vel ἄλσει), quod ad verba Scholiastæ propius accedit. Herodotus enim l. l. c. 119: ἐνθεῦτεν δὲ οἱ διαφυγόντες αὐτῶν (sc. Carum) κατειλήθησαν ἐς Λάβρανδα, ἐς Διὸς Στρατίου ἱρὸν, μέγα τε καὶ ἅγιον ἄλσος πλατανίστων.",
