volume,sub_volume,sub_volume_note,author,section,work,work_note,work_section,book,book_note,chapter,paragraph,sub_paragraph,page,type,fragment_number,fragment_letter,fragment_note,witness,text,translation,commentary,note
"Volumen primum",,,EPHORUS,"EPHORI FRAGMENTA",ΙΣΤΟΡΙΑΙ,,,PROOEMIA,,,,,234,fragment,1,,,"Polybius IV, 20:","Οὐ γὰρ ἡγητέον, μουσικὴν, ὡς Ἔφορός φησιν ἐν τῷ προοιμίῳ τῆς ὅλης πραγματείας, οὐδαμῶς ἁρμόζοντα λόγον αὐτῷ ῥίφας, ἐπ ̓ ἀπάτῃ καὶ γοητείᾳ παρεισῆχθαι τοῖς ἀνθρώποις.","Neque enim arbitrari debemus, quod Ephorus in præfatione universi sui operis scripsit, vocem effutiens minime ipso dignam: Musicam ad fraudem et deceptionem fuisse inter homines introductam.","Cf. Athenæus XIV, p. 626, et Agrippa De Vanit. Scient. c. I7.",
"Volumen primum",,,EPHORUS,"EPHORI FRAGMENTA",ΙΣΤΟΡΙΑΙ,,,PROOEMIA,,,,,234,fragment,2,,,Harpocration:,"Ἀρχαίως, Ἰσοκράτης Πανηγυρικῷ· «Τά τε παλαιὰ καινῶς διεξελθεῖν, καὶ περὶ τῶν νεωστὶ γεγενημένων ἀρχαίως εἰπεῖν.» Ἔνιοι μέν φασι σημαίνειν ἀρχαιοτρόπως, τουτέστιν ἀρχαιοτέροις ὀνόμασι χρῆσθαι. Ἔφορος ἐν τῇ πρώτῃ τῶν Ἱστοριῶν τρόπον τινὰ ἐξηγήσατο, φησὶ (Ι. Φήσας) περὶ τῶν ἀρχαίων πραγμάτων τοὺς νεωτέρους διεξάρχεσθαι. «Περὶ μὲν γὰρ τῶν καθ ̓ ἡμᾶς γεγενημένων, φησὶ, τοὺς ἀκριβέστατα λέγοντας πιστοτάτους ἡγούμεθα, περὶ δὲ τῶν παλαιῶν τοὺς Οὕτω διεξιόντας ἀπιθανωτάτους εἶναι νομίζομεν, ὑπολαμβάνοντες οὔτε τὰς πράξεις ἁπάσας, οὐτε τῶν λόγων τοὺς πλείστους εἰκὸς εἶναι μνημονεύεσθαι διὰ τοσούτων.»","Ἀρχαίως, apud Isocratem Panegyrico : «Tum vetera nova ratione persequi, et de recens actis antiquo more dicere.» Sunt qui ἀρχαίως: significare velint ἀρχαιοτρόπως, id est, antiquis vocabulis uti; quod Ephorus libro primo historiarum, quum recentiores ait scriptores de vetustis rebus disserere, quodam modo exposuit. «Qui de rebus me «moria nostra gestis, inquit, accuratissime disserunt, «fide dignissimos censemus; at qui res antiquas eodem «modo narrant, ad persuadendum ineptissimos puta «mus: animo præsumentes verisimile non esse, neque «omnia facta, nec pleraque dicta tam copiose referri.»","Cf. Idem v. Καινῶς et Suidas v. Καινὸς, et Phot. Lex. p. 94.",
"Volumen primum",,,EPHORUS,"EPHORI FRAGMENTA",ΙΣΤΟΡΙΑΙ,,,PROOEMIA,,,,,234,fragment,3,,,"Polybius XII, 27:","Ὁ μὲν γὰρ Ἕφορός φησιν, εἰ δυνατὸν ἦν αὐτοὺς (Scil. Rerum scriptores) παρεῖναι πᾶσι τοῖς πράγμασι, ταύτην δὴ διαφέρειν πολὺ τῶν ἐμπειριῶν.","Nam Ephori dictum est, Si posset fieri, ut ipsi, qui scrbunt, rebus gerendis omnibus interessent, hanc demum fore ex omnibus præstantissimam illas cognoscendi rationem.",,
"Volumen primum",,,EPHORUS,"EPHORI FRAGMENTA",ΙΣΤΟΡΙΑΙ,,,PROOEMIA,,,,,234,fragment,4,,,"Polybius IX, I:","Τὸν μὲν γὰρ φιλήκοον ὁ γενεαλογικὸς τρόπος ἐπισπᾶται· τὸν δὲ πολυπράγμονα καὶ περιττὸν ὁ περὶ τὰς ἀποικίας καὶ κτίσεις καὶ συγγενείας, καθά που καὶ παρ ̓ Ἐφόρῳ λέγεται, τὸν δὲ πολιτικὸν, ὁ περὶ τὰς πράξεις τῶν ἐθνῶν καὶ πόλεων καὶ δυναστῶν.","Etenim qui una legendi voluptate ducuntur, eos (deorum heroumque) generationes attrahunt; multiplicis et reconditæ doctrinæ curiosos, sermo de coloniis antiquis, de conditu urbium, de populorum inter ipsos cognatione; quemadmodum et apud Ephorum alicubi legitur. Virum vero politicum res gestas scire juvat nationum, civitatum et eorum qui populis dominantur.",,
"Volumen primum",,,EPHORUS,"EPHORI FRAGMENTA",ΙΣΤΟΡΙΑΙ,,,PROOEMIA,,,,,234,fragment,5,,,"Stephanus Byz. s. v. Βοιωτία:","Ἔφορος δέ φησιν ὅτι Ἀθηναῖοι περὶ τὴν ναυτικὴν, Θετταλοὶ περὶ τὴν ἱππικὴν ἐμπειρίαν, Βοιωτοὶ περὶ τὴν τῆς γυμανασσίας ἐπιμέλειαν, Κυρηναῖοι δὲ περὶ τὴν διφρευτικὴν ἐπιστήμην ἠσχόληνται· ἡμεῖς δὲ περὶ τὴν τῶν νόμων εὐταξίαν.","Bæotia. . . . Verum narrat Ephorus, Athenienses ad nauticam, Thessalos ad equestrem, Bœotos ad gymnasticam, Cyrenæos autem ad curulem artem se applicuisse: nos autem (Cumani) legibus bene constituendis studemus.","Cf. Eustath. Ad Dionys. Perieg. v. 428; Maxim. Tyr. Dissert. VIII, p. 85.",
"Volumen primum",,,EPHORUS,"EPHORI FRAGMENTA",ΙΣΤΟΡΙΑΙ,,,PROOEMIA,,,,,234,fragment,6,,,"Diodorus Siculus I, 9:","Περὶ πρώτων δὲ τῶν Βαρβάρων διέξιμεν, οὐκ ἀρχαιοτέρους αὐτοὺς ἡγούμενοι τῶν Ἑλλήνων καθάπερ Ἔφορος εἴρηκεν, ἀλλὰ προδιελθεῖν βουλόμενοι τὰ πλεῖστα τῶν περὶ αὐτοὺς, ὅπως ἀρξάμενοι τῶν παρὰ τοῖς Ἕλλησι ἱστορουμένων μηδεμίαν ἐν ταῖς ἀρχαιολογίαις ἑτερογενῆ πρᾶξιν παρεμβάλωμεν.","De barbaris autem nationibus primum dicemus, non quod eos antiquiores Græcis arbitramur, ut Ephorus asseruit; sed plerasque res eorum præmittere volumus, ut postea Græcorum historiam ingressi nihil in horum antiquitalibus alienum immisceamus.",,
"Volumen primum",,,EPHORUS,"EPHORI FRAGMENTA",ΙΣΤΟΡΙΑΙ,,,PROOEMIA,,,,,235,fragment,7,,,"Clemens Alexandr. Strom. I, p. 404:","Ἔφορος δὲ καὶ ἄλλοι πολλοὶ τῶν ἱστορικῶν καὶ ἔθνη καὶ γλώσσας πέντε καὶ ἑβδομήκοντα λέγουσιν εἶναι, ἐπακούσαντες τῆς φωνῆς Μωσέως λεγούσης· Ἦσαν δὲ πᾶσαι αἰ ψυχαὶ ἐξ Ἰακὼβ πέντε καὶ ἑβδομήκοντα, αἱ εἰς Αἴγυπτον κατελθοῦσαι.","Ephorus autem et alii multi historici, et gentes et linguas dicunt septuaginta quinque, quum audiissent vocem Mosis dicentis : Erant autem omnes animæ ex Jacob septuaginta quinque, quæ descenderunt in Ægyptum.","«Ex ipsis potius Ægyptiorum traditis illam hausisse famam Ephorum, fidem facit Horapollo I, I4: Οἰκουμένην δε γράφοντες, κυνοκέφαλον ζωγραφοῦσιν, ἐπειδὴ ἑβδομήκοντα δύο χώρας τὰς ἀρχαίας φασὶ τῆς οἰκουμένης.» Marx.",
"Volumen primum",,,EPHORUS,"EPHORI FRAGMENTA",ΙΣΤΟΡΙΑΙ,,,"LIBER I","ΗΕΡΑΚΛΕΙΔΩΝ ΚΑΘΟΔΟΣ",,,,235,fragment,8,,,"Theo Prog. p. 12:","Διηγημάτων μὲν μυθικῶν . . . . καὶ παρὰ Ἐφόρῳ ἐν τῇ πρώτῃ, τὸ περὶ τῶν πεντήκοντα Θεστίου θυγατέρων, αἷς ἁπάσαις παρθένοις οὔσαις φησὶν ἅμα μιγῆναι τὸν Ἡρακλέα.","Narrationes autem fabulosæ. . et illa de quinquaginta Thestiadibus, apud Ephorum in primo, cum quibus, quum adhuc essent virgines, universis simul Herculem concubuisse existimat.",,
"Volumen primum",,,EPHORUS,"EPHORI FRAGMENTA",ΙΣΤΟΡΙΑΙ,,,"LIBER I","ΗΕΡΑΚΛΕΙΔΩΝ ΚΑΘΟΔΟΣ",,,,235,fragment,9,,,"Schol. Apollonii Rhod. I, vs. 1168:","Ἔφορος ἐν πρώτῳ παραδέδωκεν αὐτὸν (Ηερψθλεμ) δι ̓ Ὀμφάλην καταλελεῖφθαι. Idem vs. 1289: Ἔφορος ἐν τῇ έ (leg. A’) φησὶν αὐτὸν ἑκουσίως ἀπολελεῖφθαι πρὸς Ὀμφάλην τὴν Λυδῶν βασιλεύουσαν.","Ephorus libro primo dicit Herculem volentem remansisse apud Omphalen, Lydorum reginam.",,
"Volumen primum",,,EPHORUS,"EPHORI FRAGMENTA",ΙΣΤΟΡΙΑΙ,,,"LIBER I","ΗΕΡΑΚΛΕΙΔΩΝ ΚΑΘΟΔΟΣ",,,,235,fragment,9,a,,"Plutarch. Camill. 19: Thargelionis dies vigesimus tertius felix Græcis, infaustus sæpius barbaris fuit:","Καὶ Καρχηδόνιοι περὶ Σικελίαν ὑπὸ Τιμολέοντος ἡττῶντο τῇ ἑβδόμῃ φθίνοντος· περὶ ἣν δοκεῖ καὶ τὸ Ἴλιον ἁλῶναι, ὡς Ἔφορος καὶ Καλλισθένης καὶ Δαμάστης καὶ Φύλαρχος ἱστορήκασιν.","Et Carthaginienses in Sicilia a Timoleonte victi sunt die septimo ultimæ mensis decadis; eodem die Ilium quoque captum esse perhibetur, ut Ephorus, Callisthenes, Damastes, Phylarchus narraverunt.","Cf. Ælian. V. H. II, 24.",
