volume,sub_volume,sub_volume_note,author,section,work,work_note,work_section,book,book_note,chapter,paragraph,sub_paragraph,page,type,fragment_number,fragment_letter,fragment_note,witness,text,translation,commentary,note
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,1,fragment,1,,,"Herodot. IV, 36:","Γελῶ δὲ ὁρέων γῆς περιόδους γράψαντας πολλοὺς ἤδη καὶ οὐδένα νόον ἔχοντας ἐξηγησάμενον· οἵ Ὠκεανόν τε ῥέοντα γράφουσι πέριξ, τήν τε γῆν ἐοῦσαν κυκλοτερέα, ὡς ἀπὸ τόρνου, καὶ τὴν Ἀσίην τῇ Εὐρώπῃ ποιεύντων ἴσην.","Rideo multos videns descripsisse circuitus terræ, nullum habentes in exponendo sensum, qui Oceanum scribunt orbem terrarum circumfluere, et terram esse orbiculatam tanquam a torno, atque Asiam faciunt Europæ parem.","Quibus Hecatæum respici admodum probabile est.",
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,1,fragment,2,,,"Strab. VII, p. 459:","Παρ ̓ Ἑκαταίῳ δὲ Κιμμερίδα πόλιν.","Apud Hecatæum Cimmeridem urbem.","Recensentur exempla rerum fabulosarum, quas tradiderint historici.",
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,1,fragment,3,,,"Steph. Byz.:","Καλάθη, πόλις οὐ πόῤῥω τῶν Ἠρακλείων στηλῶν, Ἑχαταῖος Εὐρώπῃ· Ἔφορος δὲ Καλάθουσαν αὐτήν φησιν.","Calatha, oppidum non procul ab Herculis columnis. Hec. Verum Ephorus illud Calathusam appellat.",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,1,fragment,4,,,"Steph. Byz.:","Ἐλιδύργη, πόλις Ταρτησσοῦ. Ἑκ. Εὐp.","Elibyrga, urbs Tartessi.","Alia hujus urbis mentio non exstat. Tartesso adjacet Illiturgis (Liv. XXVIII, 19), quod si declarare voluif Hecatæus, Ἐλιθύργη vel Ἐλιδύργη scripsisse videtur, cum apud Stephanum vocem inter Ἐλεύτιοι et Ἑλίκη ordine alphabetico positam inveniamus.",
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,1,fragment,5,,(?),"Steph. Byz.:","Ἴβυλλα, πόλις Ταρτησίας, τὸ ἐθνικὸν Ἰδυλλῖνος, παρ ̓ οἷς μέταλλα χρυσοῦ καὶ ἀργύρου.","Ibylla, urbs Tartesiæ. Gentile Ibyllinus. Apud hos auri et argenti metalla inveniuntur.","Cum auctorem Stephanus omiserit, mentionem urbis alioquin ignotæ Hecatæo non inepte tribuas.",
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,1,fragment,6,,,"Steph. Byz.:","Μαστιηνοί, ἔθνος πρὸς ταῖς Ἡρακλείαις στήλαις· Ἑκ. Εὐρ. Εἴρηται δὲ ἀπὸ Μαστίας πόλεως.","Mastiani, gens prope columnas Herculeas. Gens autem a Mastia urbe sic dicta est.",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,1,fragment,7,,(?),"Steph. B.","Σύαλις, πόλις Μαστιηνῶν.","Syalis, urbs Mastienorum.","De auctore tacet.",
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,1,fragment,8,,,"Steph. B.","Μαινόδωρᾳ, πόλις Μαστιηνῶν, Ἑχ. Εὐρ.","Mænobora, urbs Mastienorum.",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,1,fragment,9,,,"Steph. B.","Σίξος, πόλις Μαστιηνῶν. Ἑκαταῖος· «μέτα δὲ Σίξος πόλις.»","Sixus, urbs Mastienorum. Hec.: «Deinde Sixus uibs.»",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,1,fragment,10,,,"Steph. Byz.","Μολυβδδάνα, πόλις Μαστιηνῶν. Ἑκ. Εὐρ.","Molybdana, urbs Mastienorum.",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,1,fragment,11,,,"Steph. B.","Εἴδητες, ἔθνος Ἰδηρικόν. Ἑκ. Εὐρ.","Edetes, gens Iberica.","Nomen ignotum et mire positum inter vocabula Ἐρεχθία et Ἑσπερία. Sed ordo ibi in pluribus turbatus.",
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,2,fragment,12,,,"Steph. B.","Μίσγητες, ἔθνος Ἰδήρων· Ἑκ. Εὐρ.","Misgetes, gens Iberiæ.","Νοmen ignotum.",
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,2,fragment,13,,,"Steph. B.","Κραδασία, πόλις Ἰδήρων· Ἑκ. Εὐρ. Τὸ Ἐθνικὸν Κραδάσιος, καὶ Κραδασιεύς, καὶ Κραδασιάτης, καὶ Κραδασιανὸς διὰ τὴν χώραν.","Crabasia, urbs Iberorum. Hec. Gentile Crabasius, et Crabasieus, et Crabasiates, et Crabasianus, propter regionis consuetudinem.",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,2,fragment,14,,,"St. B.","Ἰλαραυγάται, οἱ Ἴδηρες· Ἑκ. Εὐρ. Καὶ Ἰλαραυγάτης ποταμός.","Ilaraugatæ, Iberes, Hec. Est et Ilaraugates fluvius.",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,2,fragment,15,,,"St. B.","Σικάνη, πόλις Ἰδηρίας, ὡς Ἑκ. Εὐρ.","Sicane, urbs Iberiæ.",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,2,fragment,16,,,"St. B.","Ὕοψ, πόλις ἐν Ἰδηρίᾳ χεῤῥονήσου. Ἑκ. Εὐρώπῃ· «μέτα δὲ Ὕοψ πόλις, μέτα δὲ Λεσυρὸς ποταμός.»","Hyops, urbs in Iberia Chersonesi. Hec. : «Post vero est Hyops urbs, post autem Lesyrus fluvius.»",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,2,fragment,17,,,"St. B.","Κρομύουσα, νῆσος Ἰδηρίας· Ἑκ. Εὐρ.","Cromyusa, insula Iberiæ.",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,2,fragment,18,,,"St. B.","Μήλουσσα, νῆσος κατὰ Ἴδηρας· Ἑκ. Εὐρ.","Melussa, Insula juxta Iberos.",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,2,fragment,19,,,"St. B.","Ναρδών, ἐμπόριον καὶ πόλις Κελτική. Ἑκ. Εὐρ. Ἔστι καὶ λίμνη Ναρδωνῖτις, καὶ ποταμὸς Ἀτακός. Ἑκαταῖος δὲ Ναρδαίους αὐτούς φησι.","Narbon, emporium et urbs Celtica. Hec. Est etiam Narbonitis lacus et Atacus fluvius. Hecatæus vero Narbæos incolas dicit.",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,2,fragment,20,,,"St. B.","Ἐλίσυκοι, ἔθνος Λιγύων· Ἑκ. Εὐρ.","Elisyci, gens Ligurum.",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,2,fragment,21,,,"St. B.","Νύραξ, πόλις Κελτική· Ἑχ. Εὐρ.","Nyrax, urbs Celtica.","Urbs ignota.",
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,2,fragment,22,,,"St. B.","Μασσαλία, πόλις Λιγυστικῆς, κατὰ τὴν Κελτικὴν, ἄποικος Φωκαέων. Ἑκ. Εὐρ.","Massalia, urbs Ligusticæ, juxta Celticam, Phocen. sium colonia.",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,2,fragment,23,,,"St. B.","Μόνοικος, πόλις Λιγυστική· Ἑκ. Εὐρ.","Monœcus, urbs Liguriæ.",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,2,fragment,24,,,"St. B.","Ἄμπελος, πόλις τῆς Λιγυστικῆς· Ἐκ. Εὐρ.","Ampelus, urbs Liguriæ.","Oppidum ignotum.",
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,2,fragment,25,,,"St. B.","Αἰθάλη, νῆσος Τυρσηνῶν. Ἑκ. Εὐρ. Ἔοικε δὲ κεκλῆσθαι διὰ τὸ σίδηρον ἔχειν, τὸν ἐν Αἰθάλῃ τὴν ἐργασίαν ἔχοντα.","Æthale, insula Tyrrhenorum. Hec. Videtur vero sic vo cata fuisse eo quod ferrum habeat, quod in Αἰθάλῃ (id est, in fuligine) conficiatur.",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,2,fragment,26,,,St.B.,"Κύρνος, νῆσος πρόσδοῤῥος Ἰαπυγίας. Ἑκ. Εὐρ.","Cyrnus, insula ad aquilonarem partem Iapygiæ.",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,2,fragment,27,,,"St. B.","Κάπυα, πόλις Ἰταλίας· Ἑκ. Εὐρ. Ἀπὸ Κάπυος τοῦ Τρωϊκοῦ.","Capua, urbs Itallæ, Hec. A Capye Trojano.",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,2,fragment,28,,,"St. B.","Νῶλα, πόλις Αὐσόνων· Ἑκ. Εὐρ.","Nola, urbs Ausonum.",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,2,fragment,28,,,Suidas:,"Νῶλα, πόλις Αὐσόνων παρὰ Ἑκαταίῳ. Πολύβιος δὲ, Νώλην αὐτήν φησι.",,,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,2,fragment,29,,,"St. B.","Καπριήνη, νῆσος Ἰταλίας. Λέγονται καὶ Καπρίαι. Ἑκ. Εὐρ.","Capriene, insula Italiæ. Dicuntur etiam Capriæ. Hec.","Fortasse Καπρίη Scribendum, cum syllaba νη facile ex vocabulo νῆσος orta sit.",
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,2,fragment,30,,,"St. B.","Ἀρίνθη, πόλις Οἰνώτρων ἐν μεσοποταμίᾳ· Ἑκ. Εὐρ.","Arintha, urbs Œnotrorum, inter duos fluvios sita.",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,2,fragment,31,,(?),"St. B.","Βρθστακία, πόλις Οἰνώτρων.","Brystacia, urbs Œnotrorum.","Sine auctoritatis mentione.",
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,3,fragment,32,,,"St. B.","Δρῦς, πόλις Θρᾴκης· Ἑκ. Εὐρ. Ἔστι καὶ πόλις τῶν Οἰνώτρων.","Drys, urbs Thraciæ, Hec. Est etiam urbs Œnotrorum.",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,3,fragment,33,,,"St. B.","Ἀρτεμίσιον, πόλις Οἰνώτρων· ἐν μεσογείῳ· Ἑκ Εὐρ. Φίλιστος δὲ Ἀρτεμίτιον αὐτὴν καλεῖ, ἴσως Δωρικῶς.","Artemisium, urbs Œnotrorum in mediterranea parte. Hec. Philistus vero Artemitium eam vocat, forsitan Dorice.","Oppidum ignotum.",
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,3,fragment,34,,,"St. B.","Ἔριμον, πόλις Οἰνώτρων ἐν μεσογείῳ. Ἑκ. Εὐρ.","Erimum, urbs Œnotrorum in mediterraneis.",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,3,fragment,35,,,"St. B.","Ἰξιάς, πόλις Οἰνώτρων ἐν μεσογείᾳ. Ἑκ. Εὐρώπῃ· «ἔν δὲ Ἰξιὰς πόλις, ἔν δὲ Μενεκίνη πόλις.»","Ixias, urbs Œnotrorum in mediterranea regione. Hec.: «Inest vero Ixias urbs, inest Menecine urbs.»",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,3,fragment,35,,,"St. B.","Μενεκίη, πόλις Οἰνώτρων ἐν μεσογείᾳ· Ἑκ. Εὐρ.","Menecine, urbs Œnotrorum in mediterraneis. Hec.",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,3,fragment,36,,,"St. B.","Κυτέριον, πόλις Οἰνώτρων ἐν μεσογείᾳ. Ἑκ. Εὐρ.","Cyterium, urbs Œnotrorum in mediterraneis.",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,3,fragment,37,,,"St. B.","Μαλάνιος, πόλις μεσογείας τῶν Οἰνώτρων τῶν ὑπὸ Ἑκαταίου καταλεχθεισῶν ἐν Εὐρώπῃ.","Malanius, urbs regionis mediterraneæ Œnotrorum, earum quæ ab Hecatæo in Europa recensentur.",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,3,fragment,38,,,"St. B.","Νίναια, πόλις Οἰνώτρων ἐν τῇ μεσογεἴᾳ· Ἑκ. Εὐρ.","Ninæa, urbs Œnotrorum in mediterraneis.",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,3,fragment,39,,,"St. B.","Κόσσα, πόλις Οἰνώτρων ἐν τῷ μεσογείῳ· Ἑκ. Εὐρ.","Cossa, urbs Œnotrorum in mediterraneis.",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,3,fragment,40,,,"St. B.","Λαμητῖνοι, πόλις ἀπὸ Λαμήτου ποταμοῦ πρὸς Κρότωνα. Ἑκ. Εὐρώπῃ· «Ἐκ δὲ Λάμητος ποταμοῦ Λαμητῖνοι.»","Lametini, urbs a Lameto fluvio ad Crotonem. Hec.: «Ex Lamete vero fluvio dicuntur Lametini.»",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,3,fragment,41,,,"St. B.","Μέδμη, πόλις Ἰταλίας καὶ κρήνη ὁμώνυμος. Ἑκ. Εὐρώπῃ· «Ἀπὸ Μέδμης κρήνης τινός.»","Medama, urbs Italiæ et fons ejusdem nominis. Hec Europa: «a Medme fonte quodam.»",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,3,fragment,42,,,"St. B.","Σκύλλαιον, ἄκρα, περὶ ἧς Ἑκ. Ἐν Εὐρώπῃ φησίν.","Scyllæum, promontorium, de quo Hec.",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,3,fragment,43,,,"St. B.","Ζάγκλη, πόλις Σικελίας· Ἑκαταῖος Εὐρώπῃ· οἱ μὲν ἀπὸ Ζάγκλου τοῦ Γηγενοῦς ἢ ἀπὸ κρή νης Ζάγκλης· οἱ δὲ διὰ τὸ ἐκεῖ Κρόνον τὸ δρέπανον ἀποκρύψαι, ᾧ τὰ τοῦ πατρὸς ἀπέκοψεν αἰδοῖα.","Zancle, urbs Siciliæ, Hec.: alii a Zanclo Terrigena, vel a fonte Zancle; alii autem, quod illic Saturnus falcem abscondiderit, qua patris pudenda abscidit.","Num hæc omnia Hecatæo debeantur, incertum.",
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,3,fragment,44,,,"St. B.","Κατάνη, πόλις Σικελίας. Ἑκ. Εὐρώπῃ «μέτα δὲ Κατάνη πόλις, ὕπερ δὲ ὄρος Αἴτνη.»","Catane, urbs Siciliæ. Hec.: «Post vero Catane urbs, supra autem mons Ætna.»",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,3,fragment,45,,,"St. B.","Συρακοῦσαι, πόλις Σικελίας μεγίστη, ὡς Ἑκ. Εὐρ.","Syracusæ, urbs Siciliæ maxima.",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,3,fragment,46,,,"St. B.","Λιλύβαιον, ἡ πρὸς δύσιν ἄκρα τῆς Σικελίας· Ἑκ. Εὐρ. Ἔστι καὶ πόλις.","Lilybæum, Siciliæ promontorium ad occidentem. Hec. Est et urbs.",,
"Volumen primum",,,HECATAEUS,"HECATAEI FRAGMENTA","ΠΕΡΙΟΔΟΣ ΓΗΣ",,"A. ΕΥΡΩΠΗ",,,,,,3,fragment,47,,,"St. B.","Μοτύη, πόλις Σικελίας ἀπὸ Μοτύης γυναικὸς, μηνυσάσης Ἡρακλεῖ τοὺς ἐλάσαντας τοὺς αὐτοῦ βοῦς. Ἑκ. Εὐρ. Φίλιστος δὲ φρούριον αὐτήν φησι Σικελίας παραθαλάττιον.","Motya, urbs Siciliæ a Motya femina, quæ indicavit Herculi eos qui ipsius boves abegerant. Hec Philistus vero Siciliæ castellum maritimum esse ait.",,
