volume,sub_volume,sub_volume_note,author,section,work,work_note,work_section,book,book_note,chapter,paragraph,sub_paragraph,page,type,fragment_number,fragment_letter,fragment_note,witness,text,translation,commentary,note
"Volumen primum",,,HELLANICUS,"HELLANICI FRAGMENTA",ΦΟΡΩΝΙΣ,,,,,,,,45,fragment,1,,,"Dionys. Halic. Archæol, I, 28:","Ἑλλάνικος ὁ Λέσβιος τοὺς Τυῤῥηνούς φησι, Πελασγοὺς πρότερον καλουμένους, ἐπειδὴ κατῴκησαν ἐν Ἰταλίᾳ, παραλαβεῖν ἣν ἔχουσι προσηγορίαν. Ἔχει δὲ αὐτῷ ἐν Φορωνίδι ὁ λόγος ὧδε· «Τοῦ Πελασγοῦ, τοῦ βασιλέως αὐτῶν, καὶ Μενίππης τῆς Πηνειοῦ, ἐγένετο Φράστωρ· τοῦ δὲ Ἀμύντωρ· τοῦ δὲ, Τευταμίδης· τοῦ δὲ, Νάνας. Ἐπὶ τούτου βασιλεύοντος, οἱ Πελασγοὶ ὑφ ̓ Ἑλλήνων ἀνέστησαν. καὶ ἐπὶ Σπινῆτι ποταμῷ ἐν τῷ Ἰονίῳ κόλπῳ τὰς νῆας καταλιπόντες, Κρότωνα πόλιν ἐν μεσογείῳ τὰς νῆας καταλιπόντες, Κρότωνα πόλιν ἐν μεσογείῳ εἷλον· καὶ ἐντεῦθεν ὁρμώμενοι τὴν νῦν καλουμένην Τυῤῥηνίαν ἔκτισαν.»","At vero Hellanicus Lesbius dicit, Tyrrhenos, qui ante vocabantur Pelasgi, postquam in Italia cœperunt habitare, nomen id assumsisse quod nunc habent. In libro autem quem Phoronidem inscripsit, ita loquitur: «Ex Pelasgo ipsorum rege et ex Menippe Penei filia natus est Phrastor; ex hoc, Amyntor; ex Amyntore, Teutamides; ex Teutamide, Nanas. Hoc regnante Pelasgi a Græcis ex suis sedibus pulsi fuerunt, et, navibus ad Spinetem fluvium in Ionico sinu relictis, urbem Crotonem in locis mediterraneis sitam ceperunt: atque, hac belli sede usi, eam quæ nunc Tyrrhenia vocatur, condiderunt.»",,
"Volumen primum",,,HELLANICUS,"HELLANICI FRAGMENTA",ΦΟΡΩΝΙΣ,,,,,,,,45,fragment,2,,,"Schol. Apollon. III, 1178:","Περὶ τῆς Κάδμου εἰς Θήβας παρουσίας Λυσίμαχος ἐν τῇ συναγωγῇ τῶν Θηβαϊκῶν παραδόξως ἱστορεῖ· καὶ Ἑλλάνικος ἐν α' Φορωνίδος, ἱστορῶν ὅτι καὶ τοὺς ὀδόντας ἔσπειρε τοῦ δράκοντος κατὰ Ἄρεος βούλησιν. Καὶ ἐγένοντο πέντε ἄνδρες ἔνοπλοι, Οὐδαῖος, Χθόνιος, Πέλωρ, Ὑπερήνωρ, Ἐχίων.","De Cadmo, qui Thebas venerat, contra vulgarem opinionem narrat Lysimachus in rerum Thebaicarum collectione, nec non Hellanicus in Phoronidis libro primo. Tradit enim ex Martis voluntate Cadmum sparsisse dentes draconis, ex iisque quinque natos esse viros armatos, Udæum, Chthonium, Pelorem, Echionem, Hyperenorem; eos quidem solos, non plures, quæ est aliorum narratio.",,
"Volumen primum",,,HELLANICUS,"HELLANICI FRAGMENTA",ΦΟΡΩΝΙΣ,,,,,,,,45,fragment,2,,,"Et ad v. 1185:","Λέγειν δὲ καὶ Ἑλλάνικος, ὅτι Κάδμος ἐξελὼν τοῦ ὄφεως τοὺς ὀδόντας ἔσπειρεν. Ἐκ δὲ αὐτῶν πέντε ἄνδρες ἔφυσαν, Οὐδαῖος, Χθόνιος, Πέλωρ, Ἐχίων, Ὑπερήνωρ. Καὶ ὁ μὲν Ἑλλάνικος μόνους φησὶ τούτους βεβλαστηκέναι, ὁ δὲ Ἀπολλώνιος πολλοὺς καὶ ἄλλους, καὶ ἀλλήλους πεφονευκέναι.",,,
"Volumen primum",,,HELLANICUS,"HELLANICI FRAGMENTA",ΦΟΡΩΝΙΣ,,,,,,,,45,fragment,3,,,"Athenaeus IX, p. 410, F:","Τὸν δὲ τῷ χερνίβῳ ῥάναντα παῖδα, διδόντα κατὰ χειρὸς Ἡρακλεῖ ὕδωρ, ὃν ἀπέκτεινεν ὁ Ἡρακλῆς κονδύλῳ, Ἑλλάνικος μὲν ἐν ταῖς ἱστορίαις Ἀρχίαν φησὶ καλεῖσθαι, δι ̓ ὃν καὶ ἐξεχώρησε Καλυδῶνος· ἐν δὲ τῷ δευτέρῳ τῆς Φορωνίδος Χερίαν αὐτὸν ὀνομάζει.","Puero vero illi, qui, quum Herculi aquam ministrans manibus lavandis ipsum aqua conspersisset, talitro occisus est ab Hercule, Hellanicus quidem in Historiis Archiœ fuisse nomen scribit; propter cujus cædem Hercules etiam Calydone excessit: libro secundo vero Phoronidis Cheriam eumdem vocat.",,
"Volumen primum",,,HELLANICUS,"HELLANICI FRAGMENTA",ΦΟΡΩΝΙΣ,,,,,,,,45,fragment,4,,,"Harpocration in v. Στεφανηφόρος:","Στεφανηφόρου ἡρῷον, ὡς ἔοικεν, ἦν ἐν ταῖς Ἀθήναις· εἴη δ ̓ ἂν ὁ Στεφανηφόρος, ἤτοι τῶν Ἡρακλέους υἱέων εἷς, τῶν γενομένων ἐκ τῶν Θεστίου θυγατέρων, οὗ μνημονεύει Ἑλλάνικος ἐν δεκάτῳ Φορωνίδος, ἢ μήποτε τοῦ Ἀττικοῦ Στεφανηφόρου τὸ ἡρῷον ἦν, οὗ πάλιν ὁ αὐτὸς Ἑλλάνικος ἐν δευτέρᾳ Ἀτθίδος μέμνηται.","Athenis heroum Stephanephori fuisse apparet: qui vel unus filiorum Herculis, quos e filiabus Thestii sustulit, cujus meminit Hellanicus libro decimo Phoronidis; aut forte Attici Stephanephori heroum fuit, cujus idem meminit in secundo Atthidis.","Eadem habent Suidas s. h. v. et Photius in Lex. p. 396; qui ante Θεστ. inserunt τοῦ, verba οὗ μνημονεύει — Φορωνίδος omittunt, atque adeo deinceps legunt simpliciter ὥς φησιν Ἑλλάνικος ἐν β' (Photius adeo ἐν κ') Ἀτθίδος, denique pro Ἀττικοῦ habent ἀστικοῦ, quod verum videtur.",
"Volumen primum",,,HELLANICUS,"HELLANICI FRAGMENTA",ΦΟΡΩΝΙΣ,,,,,,,,46,fragment,5,,,"Proclus ad Hesiod. p. 141, b:","Ἑλλάνικος Φορωνίδι ἀπὸ Ὀρφέως φησὶν εἶναι τὸν Ἡσίοδον.","Hellanicus in Phoronide Hesiodum dicit ab Orpheo ducere originem.",,
"Volumen primum",,,HELLANICUS,"HELLANICI FRAGMENTA",ΦΟΡΩΝΙΣ,,,,,,,,46,fragment,6,,,"Proclus in Vita Homeri, quæ auctior edita est e cod. Escurialensi in Bibliothek der alt. Litter. und kunst, part. I, Inedit. p. 8:","Ἑλλάνικος καὶ Δαμάστης καὶ Φερεκύδης εἰς Ὀρφέα τὸ γένος παράγουσιν αὐτοῦ. Μαίονα γὰρ φασι τὸν Ὁμήρου πατέρα, καὶ Δῖον τὸν Ἡσιόδου γενέσθαι Ἀπελλίδος, τοῦ Μελανωποῦ, τοῦ Ἐπιφραδέως, τοῦ Χαριφήμου, τοῦ Φιλοτερπέως, τοῦ Ἰδμονίδα, τοῦ Εὐκλέους, τοῦ Δωρίωνος, τοῦ Ὀρφέως.","Hellanicus et Damastes et Pherecydes Homeri genus ad Orpheum referunt. Mæonem enim, patrem Homeri, et Dium, Hesiodi patrem, filium esse dicunt Apellidis, Melanopi, Epiphradei, Chariphemi, Philoterpei, Idmonidæ, Eucleis, Dorionis, Orphei.",,
"Volumen primum",,,HELLANICUS,"HELLANICI FRAGMENTA",ΦΟΡΩΝΙΣ,,,,,,,,46,fragment,7,,,"Idem Proclus in eadem Vita Homeri, p. 11:","Γέγραφε ποιήσεις δύο, Ἰλιάδα καὶ Ὀδύσσειαν, ἣν Ξένων καὶ Ἑλλάνικος ἀφαιροῦσιν αὐτοῦ· οἱ μέντοι γε ἀρχαῖοι καὶ τὸν Κύκλον ἀναφέρουσιν εἰς αὐτόν.","Homerus scripsit duo carmina, Iliadem et Odysseam, quam postremam ab Homero profectam esse negant Zeno et Hellanicus; sed antiqui non solum hæc, sed etiam Cyclum ei attribuunt.","«Pro Ξένων fortasse reponendum est Ζήνων, neque tamen hunc bene cum Hellanico jungi, Heynius ostendit. Equidem vellem nominasset bonus Proclus illos scriptores, qui adeo antiqui essent, ut opponi recte possent Hellanico, historiarum quidem auctori. Quidni vero Hellanicus grammaticus hoc loco intelligatur? Saltem is cum Zenone aliquo grammatico, v. c. Myndio, jungi recte potest. Magis tamen mihi placeret, qui nomen corruptum Ξένων mutaret in Ἰξίων, ut intelligeretur Demetrius Adramyttenus, qui non raro simpliciter hoc cognomine Ἰξίων appellatur.» Sturz. Adjeci ἣν antc Ξένων ex codice. Hellanicum grammaticum dici hodie satis constat.",
"Volumen primum",,,HELLANICUS,"HELLANICI FRAGMENTA",ΒΟΙΩΤΙΑΚΑ,,,,,,,,46,fragment,8,,,"Schol. Homer. Il. B, 494, p. 80, 43 ed. Bekk.:","Ἡ Βοιωτία τοπρότερον Ἀονία ἐκαλεῖτο, ἀπὸ τῶν κατοικούντων ἐν αὐτῇ Ἀόνων. Μετωνομάσθη δὲ Βοιωτία κατὰ μέν τινας, ἀπὸ Βοιωτοῦ τοῦ Ποσειδῶνος (sic Venet.: vulgata scholia, υἱοῦ Ἰτώνου, ἢ Ποσειδῶνος) καὶ Ἄρνης. [Ἔτι δὲ Βοιωτοὶ τιμῶσι τὸν προπάτορα αὐτῶν, Βοιωτὸν, υἱὸν Ποσειδῶνος. Quæ omittit Ven.] Καθ ̓ ἑτέρους δὲ, ἀπὸ τῆς ἐλαθείσης κατὰ τὸ) πυθόχρηστον ὑπὸ Κάδμου βοός. Εὐρώπης γὰρ, τῆς Φοίνικος θυγατρὸς, ἐκ Σιδῶνος ὑπὸ Διὸς ἁρπαγείσης, Κάδμος ὁ ἀδελφὸς αὐτῆς, κατὰ ζήτησιν πεμφθεὶς ὑπὸ τοῦ πατρὸς, ὡς οὐχ εὗρεν αὐτὴν (Hæc omnia videntur esse verba Scholiastæ, qui narrationes Hellanici et Apollodori (III, 1, 1) in unam conflaverit. Quæ mox sequuntur, ea fere ad verbum habet Apollodor. III, 4, 1, ita ut ea videri possit ex Hellanico hausisse), ἧκεν εἰς Δελφοὺς ἐρωτήσων τὸν θεόν. Ὁ δὲ θεὸς εἶπεν αὐτῷ, περὶ μὲν Εὐρώπης μὴ πολυπραγμονεῖν, χρῆσθαι δὲ καθοδηγῷ βοὶ, καὶ πόλιν ἐκεῖ κτίζειν, ἔνθα ἂν αὕτη εἰς τὰ δεξιὰ πέσῃ καμοῦσα. Τοιοπυτον λαβὼν χρησμὸν, διὰ Φωκέων ἐπορεύετο. Εἶτα, βοὶ συντυχὼν παρὰ τοῖς Πελάγονος βουκολίοις, ταύτῃ πορευομένῃ κατόπιν εἵπετο. Ἡ δὲ διεξιοῦσα πᾶσαν Βοιωτίαν, ὀκνήσασα ἀνεκλίθη, ἔνθα νῦν εἰσὶν αἱ Θῆβαι. Βουλόμενος δὲ Ἀθηνᾷ τὴν βοῦν καταθῦσαι, πέμπει τινὰς τῶν μεθ ̓ ἑαυτοῦ, ληψόμενους (Viloison. τινὰ ... ληψόμενον) χέρνιβα ἀπὸ τῆς Ἀρητιάδος κρήνης. Ὁ δὲ φρουρῶν τὴν κρήνην δράκων, ὃν Ἄρεως ἔλεγον εἶναι, τοὺς πλείονας τῶν πεμφθέντων διέφθειρεν. Ἀγανακτήσας δὲ Κάδμος, κτείνει τὸν δράκοντα· καὶ τῆς Ἀθηνᾶς αὐτῷ ὑποθεμένης, τοὺς τούτου ὀδόντας σπείρει. Ἀφ ̓ ὧν ἐγένοντο οἱ γηγενεῖς. (Hactenus Apollodori cum Hellanico consentientis verba. Quæ sequuntur, solius Hellanici esse videntur.) Ὀργισθέντος δὲ Ἄρεως καὶ μέλλοντος Κάδμον ἀναιρεῖν, ἐκώλυσεν ὁ Ζεύς. Καὶ Ἁρμονίαν αὐτῷ συνῴκισε, τὴν Ἄρεως καὶ Ἀφροδίτης. Πρότερον δὲ ἐκέλευσεν αὐτὸν ἀντὶ τῆς ἀναιρέσεως τοῦ δράκοντος ἐνιαυτὸν θητεῦσαι, ἐν δὲ τῷ γάμῳ Μούσας ᾆσαι, καὶ τῶν θεῶν ἕκαστον Ἁρμονίᾳ δῶρον δοῦναι. Ἱστορεῖ Ἑλλάνικος ἐν Βοιωτιακοῖς, καὶ Ἀπολλόδωρος ἐν τῷ γ'.","Bœotia prius Aonia appellabatur ab Aonibus inclis, quod in Bœotiæ nomen mutatum esse nonnulli contendunt a Bœoto, (Itoni aut) Neptuni ex Ame filio. [Atque etiamnum Bœoti primum auctorem celebrant Bœotum, Neptuni filium.] Contra alii a bove, quam oraculi jussu Cadmus egit, nomen desumtum esse dicunt. Etenim postquam Europam, Phœnicis filiam, e Sidone Jupiter rapuerat, Cadmus frater, ut sororem quæreret a patre missus, quum eam non inveniret, Delphos venit deum consulturus, qui illi ne curiose de Europa quæreret respondit, sed bove viæ duce uti jussit atque urbem condere ubicunque illa ambulando defessa procumberet. Quo ille accepto responso per Phocensium terram iter faciebat; mox bovi inter Pelagonis armenta obviam factus, eam pone sequebatur. Hæc postquam totam Bœotiam percurrerat, defatigata humi procubuit, ubi nunc exstant Thebæ. Deinde bovem illam Minervæ mactaturus e sociis suis quosdam ex Martio fonte haustam aquam apportaturos misit. Sed draco fonti custos appositus erat, quem Marte satum fuisse perhibebant. Is ex aquaturis plerosque absumsit. Quare indignatus Cadmus draconem interemit, ac Minernæ consilio dentes ejus serit; quidbus satis, armati ex terra viri exorti sunt. Mars vero iratus atque Cadmum interfecturus, hoc quominus faceret impeditus est a jove, qui dedit illi Harmoniam, Martis ex Venere filiam. Antea vero, ut dracontis occisi pœnam solveret, per annum ei servire jussit, in nuptiis vero canere Musas, et quemque deorum nuptiale munus dare Harmoniæ.— Historia legitur apud Hellanicum in Bœoticis et in Apollodori libro tertio.",,
"Volumen primum",,,HELLANICUS,"HELLANICI FRAGMENTA",ΒΟΙΩΤΙΑΚΑ,,,,,,,,47,fragment,9,,,"Eurip. Phœn. 666:","Ὁ μὲν Ἑλλάνικος λίθῳ φησὶν ἀναιρεθῆναι τὸν δράκοντα, ὁ δὲ Φερεκράτης ξίφει.","Hellanicus lapide dicit dracontem interfectum esse, Pherecrates autem ferro.",,
