volume,sub_volume,sub_volume_note,author,section,work,work_note,work_section,book,book_note,chapter,paragraph,sub_paragraph,page,type,fragment_number,fragment_letter,fragment_note,witness,text,translation,commentary,note
"Volumen primum",,,PHANODEMUS,"PHANODEMI FRAGMENTA",ATTHIDIS,,,"LIBRI SECUNDI",,,,,366,fragment,1,,,"Athen. IX, 11, p. 392, D:","Περὶ δὲ τῆς γενέσεως αὐτῶν (ὀρτύγων) Φανόδημος ἐν δευτέρῳ Ἀτθίδος φησὶν, ὡς κατεῖδεν Ἐρυσίχθων Δῆλον τὴν νῆσον, τὴν ὑπὸ τῶν ἀρχαίων καλουμένην Ὀρτυγίαν, παρὰ τὰς ἀγέλας τῶν ζῴων τούτων φερομένας ἐκ τοῦ πελάγους ἱζάνειν εἰς τὴν νῆσον, διὰ τὸ εὔορμον εἶναι.","De earum (coturnicum) ortu Phanodemus secundo libro Rerum Atticarum sic scribit: «Conspexit [tenuit?] Erysichthon Delum insulam, quæ ab antiquis Ortygia nominata est ex eo, quod greges harum avium e mari huc delatarum in insula considunt, ut quæ ipsis commodam stationem præbeat.»","Recipienda esse videtur Casauboni conjectura κατεῖχεν pro κατεῖδεν; cf. Paus. I, 18 et 31. In Phanodemi verbis deest haud dubie aliquid, quod ad coturnicum generationem spectet.",
"Volumen primum",,,PHANODEMUS,"PHANODEMI FRAGMENTA",ATTHIDIS,,,"LIBRI QUARTI",,,,,366,fragment,2,,,"Schol. Aristoph. Av. 873:","Κολαινὶς ... φησὶ δὲ Ἑλλάνικος, Κόλαινον Ἕρμου ἀπόγονον ἐκ μαντείου ἱερὸν αὐτῆς ἱδρύσασθαι Κολαινίδος, Καὶ Φανόδημος ἐν τῇ τετάρτῃ.","Colænis. Hellanicus tradit, Colænum, a Mercuno ortum, ex oraculo templum Dianæ Colænidis exstruxisse, et Phanodemus libro quarto.",,
"Volumen primum",,,PHANODEMUS,"PHANODEMI FRAGMENTA",ATTHIDIS,,,"LIBRI QUINTI",,,,,366,fragment,3,,,Suidas:,"Παρθένοι. Τὰς Ἐρεχθέως θυγατέρας οὕτως ἔλεγον καὶ ἐτίμων. Ἦσαν δὲ ἀριθμὸν ἕξ. Πρεσβυτάτη μὲν Πρωτογένεια· δευτέρα δὲ Πανδωρα· τρίτη Πρόκρις· τετάρτη Κρέουσα· πέμπτη Ὠρείθυια· ἕκτη Χθονία. Τούτων λέγεται Πρωτογένεια καὶ Πανδώρα δοῦναι ἑαυτὰς σφαφῆναι ὑπὲρ τῆς χώρας, στρατιᾶς ἐλθούσης ἐκ Βοιωτίς. Ἐσφαγιάσθησαν δὲ ἐν τῷ Ὑακίνθῳ καλουμένῳ πάγῳ ὑπὲρ τῶν Σφενδονίων. Διὸ καὶ οὕτως καλοῦνται παρθένοι Ὑακινθίδες, καθάπερ μαρτυρεῖ Φανόδημος ἐν τῇ πέμπτῃ Ἀτθίδι, μεμνημένος τῆς τιμῆς αὐτῶν.","Virgines. Sic vocabant Erechthei filias, quas colebant hoc nomine. Erant numero sex. Earum natu maxima fuit Protogenia , secunda Pandora, tertia Procris, quarta Creusa, quinta Orithyia, sexta Chthonia. Ex his Protogenia et Pandora se ultro pro patria jugulandas præbuisse dicuntur, quum exercitus ex Bœotia irrupisset. Mactatæ autem fueruut in colle, qui vocatur Hyacinthus, supra Sphendonios (vel potius Sphendaleos) sito: unde etiam Hyacinthides vocantur, ut testatur Phanodemus libro quinto Rerum Atticarum, mentionem faciens honoris iis tributi.","Eadem apud Apostolium XV, 84. Pearsonius bene scripsit ἐτίμων· ἦσαν κ, τ. λ. Pro vulg. καὶ ἐτιμώρησαν δὲ τὸν ἀρ. ἕξ. Commendat istam scripturam Hesychius: Παρθένοι, τὰς Ἐρεχθέως οὕτως ἔλεγον καὶ ἐτίμων. Pro Σφενδονίην Valcken. Et Hemsterh. Legendum censent Σφενδαλέων. Nam Σφενδάλη δῆμος Ἱπποθοωντίδος φυλῆς, Stephan. B.",
"Volumen primum",,,PHANODEMUS,"PHANODEMI FRAGMENTA",ATTHIDIS,,,"LIBRI QUINTI",,,,,366,fragment,3,a,,"Natal. Com. Mythol. IX, 10, p. 996:","Quod autem Ægeus, Pandionis filius, patri in regno successerit, ita scriptum est a Phanodemo in libro quinto Rerum Atticarum: Αἰγεὺς ὁ Πανδίονος υἱὸς βασιλεύων Ἀθηνῶν γαμεῖ Μήταν πρώτον τὴν Ὁπλῆτος, δεύτερον Χαλκιόπην Ῥηξήνορος.","Ægeus, Pandionis filius, Athenis imperans, primam uxorem duxit Metam, Hopletis, alteram Chalciopen, Rhexenoris.","Num vero hæc Natalis ex Phanodemo petiverit, vel alio, qui Phanodemum ante oculos habuit, an fraudulenter sub auctoris nostri nomine vendiderit, in medio relinquendum.",
"Volumen primum",,,PHANODEMUS,"PHANODEMI FRAGMENTA",ATTHIDIS,,,"LIBRI SEXTI",,,,,367,fragment,4,,,"Suidas V. Τριτοπάτορες.","... Φανόδημος δὲ ἐν ἕκτῳ φησὶν, ὅτι μόνοι οἱ Ἀθηναῖοι θύουσί τε καὶ εὔχονται αὐτοῖς ὑπὲρ γενέσεως παίδων, ὅταν γαμεῖν μέλλωσιν· ἐν δὲ τῷ Ὀρφέως Φυσικῷ ὀνομάζεσθαι τοὺς Τριτοπάτορας Ἀμαλκείδην καὶ Πρωτοκλέα καὶ Πρωτοκρέοντα, θυρωροὺς καὶ φύλακας ὄντας τῶν ἀνέμων.","Phanodemus libro sexto dicit, solos Athenienses iis sacrificare et vota facere pro liberorum generatione, quando uxores sint ducturi; in Orphei vero Physico Tritopatores vocari, Amalcidem, Protoclem et Protocreontem, qui ventorum janitores et custodes sint.","Cf. Etym. M., Phot.et Phavor. v. Τριτοπάτορες, Tzetz. ad Lycophr. 738. Apud Etym. M. et Phavorinum legitur ἐν δὲ τοῖς Ὀρφέως φυσικοῖς. Pro Πρωτοκλέοντα, ut vulgo legitur in Suidæ loco, Phavorinus et Tzetzes exhibent Πρωτοκρέοντα, quod recepi; cf. Welcker de Æsch. Trilog. p. 152.",
"Volumen primum",,,PHANODEMUS,"PHANODEMI FRAGMENTA",ATTHIDIS,,,"LIBRI SEPTIMI",,,,,367,fragment,5,,,"Athen. III, 30, p. 144, C:","Αἰγύπτιοι τὸν ὑποξίζοντα ἄρτον κυλλάστιν καλοῦσι. Μνημονεύει δ ̓ αὐτοῦ Ἀριστοφάνης ἐν Δαναίσι ... μνημονεύουσιν αὐτοῦ καὶ Ἑκαταῖος καὶ Ἡρόδοτος καὶ ὁ Φανόδημος ἐν ἑβδόμῃ Ἀτθίδος.","Ægyptii subacidum panem cyllastin vocant, cujus meminit Aristophanes in Danaidibus. Ejusdem meminere etiam Hecatæus, Herodotus et Phanodemus libro septimo Atthidis.","Cf. Herodot II, 77, Hesych. v. Κύλλαστις, Jablonskius Vocc. Ægypt. p. 17.",
"Volumen primum",,,PHANODEMUS,"PHANODEMI FRAGMENTA",ATTHIDIS,,,"LIBRI NONI",,,,,367,fragment,6,,,Harpocrat.:,"Λεωκόρειον, Δημοσθένης ἐν τῷ κατὰ Κόνωνος. Τὸ δὲ Λεωκόρειον εἶναί φησι Φανόδημος ἐννάτῳ Ἀτθίδος ἐν μέσῳ τῷ Κεραμεικῷ.","Leocorium. Demosthenes adversus Cononem. Leocorium Phanodemus in nono de Attica libro ait esse in medio Ceramico.","Phavorin. h. v. eadem refert.",
"Volumen primum",,,PHANODEMUS,"PHANODEMI FRAGMENTA","FRAGMENTA INCERTAE SEDIS",,,,,,,,367,fragment,7,,,"Proclus in Comment. ad Platon. Timæum, p. 30, ed. Basil.:","Τοὺς δὲ Ἀθηναίους Καλλισθένης μὲν καὶ Φανόδημος πατέρας τῶν Σαϊτῶν ἱστοροῦσι γενέσθαι.","Callisthenes et Phanodemus tradunt, Saitas ab Atheniensibus ortos esse.","Platonis locus est in Timæo p. 11, E. Cf. Theopomp. fr. 172.",
"Volumen primum",,,PHANODEMUS,"PHANODEMI FRAGMENTA","FRAGMENTA INCERTAE SEDIS",,,,,,,,367,fragment,8,,,"Dionys. Halic. Ant. Rom. I, 61, p. 50 Sylb.:","Τεῦκρον δὲ ἄλλοι τε πολλοὶ καὶ Φανόδημος, ὁ τὴν Ἀττικὴν γράψας ἀρχαιολογίαν, ἐκ τῆς Ἀττικῆς μετοικῆσαί φασιν εἰς τὴν Ἀσίαν, δήμου Ξυπεταίας ἄρχοντα· καὶ πολλὰ παρέχονται τοῦ λόγου τεκμήρια, κρατήσαντα δὴ χώρας συχνῆς τε καὶ ἀγαθῆς, καὶ οὐ πολὺ τὸ ἐπιχώριον γένος ἐχούσης, ἀσμένως τὸν Δάρδανον ἰδεῖν, καὶ τὸ σὺν αὐτῷ παραγενόμενον Ἑλληνικὸν, τῶν τε πρὸς τοὺς βαρβάρους πολέμων συμμαχίας ἕνεκα, καὶ ἵνα ἡ γῆ μὴ ᾖ ἔρημος.","Teucrum quum alii multi, tum etiam Phanodemus, Atticarum antiquitatum scriptor, ex Attica in Asiam migrasse, et Xypetensis demi principem fuisse tradunt. Multis autem argumentis suorum verborum fidem faciunt. Quum igitur agrum amplum et bonum sibi quæsisset, qui parvum indigenarum numerum habebat, Dardanum aiunt eum lubenter vidisse, ceterosque Græcos qui cum eo venerant, tum ut in bellis contra barbaros gerendis eorum societate uteretur, tum etiam ne suus ager maneret desertus.","Ξυπεταία pro vulg. Ἐξποταιέως est Meursii (in Popul. Att. s. V. Ξυπέτη) conjectura, quæ firmatur Strabonis loco lib. XIII, p. 604, ubi traditur, esse nonnullorum scriptt. sententiam, Teucrum ex illo Demo in Asiam migrasse.",
"Volumen primum",,,PHANODEMUS,"PHANODEMI FRAGMENTA","FRAGMENTA INCERTAE SEDIS",,,,,,,,367,fragment,9,,,"Schol. Aristoph. Vesp. 1238 (1190) de scolio quodam, cujus hoc initium Aristophanes attulit:","Ἀδμήτου λόγον, ὦ ταῖρε, μαθὼν, τοὺς ἀγαθοὺς φίλει· quod pluribus explicans inter alia hoc tradit: Αἰτὸς δὲ (ὁ Ἀρτεμίδωρος) φησὶ, Φαινόδημον λέγειν, ὅτι φυγὰς ἐκ Φερῶν Ἄδμητος ἦλθε πρὸς Θησέα, τὸν Ἀλκήστιδος καὶ Ἱππάσου νεώτατον παῖδα, καὶ κατῳκίσθη παρ ̓ αὐτοῦ ἐν τῆ αὐτοῦ χώρᾳ, εἰς ὃν τὸ σκόλιον.","«Admeti dictum, amice, si cognoveris, bonos ama.»  Ipse (Artemidorus) dicit, Phanodemum narrare, Admetum Pheris expulsum ad Theseum venisse, Alcestidis et Hippasi filium natu minimum, huncque in sua terra ei dedisse sedem, in quem scolium illud compositum sit.","Fabricius in Bibl. gr. I, p. 695 ed. antiq. pro Φαινόδημον scripsit Φανόδημον, et sic cod. Venet.",
