volume,sub_volume,sub_volume_note,author,section,work,work_note,work_section,book,book_note,chapter,paragraph,sub_paragraph,page,type,fragment_number,fragment_letter,fragment_note,witness,text,translation,commentary,note
"Volumen primum",,,PHYLARCHUS,"PHYLARCHI FRAGMENTA",HISTORIAE,,,"LIBER III",,,,,334,fragment,1,,,"Athenæus VIII, 9, p. 334, A:","Oἶδα δὲ καὶ Φύλαρχον εἰρηκότα που περὶ μεγάλων ἰχθύων καὶ τῶν συμπεμφθέντων αὐτοῖς σύκων χλωρῶν, ὅτι αἰνιττόμενος Πάτροκλος ὁ Πτολεμαίου στρατηγὸς Ἀντιγόνῳ τῷ βασιλεῖ ἔπεμπεν, ὡς Δαρείῳ Σκύθαι ἐπερχομένῳ αὐτῶν τῇ χώρᾳ· ἔπεμψαν γὰρ οὗτοι μὲν, ὥς φησιν Ἡρόδοτος (IV, 131), ὄρνιν καὶ ὀϊστὸν καὶ βάτραχον· ἀλλ ̓ ὅ γε Πάτροκλος, ὡς διὰ τῆς τρίτης τῶν Ἱστοριῶν φησιν ὁ Φύλαρχος, πεμφθέντων τῶν προειρημένων σύκων καὶ ἰχθύων. Ἐτύγχανε δὲ κωθωνιζόμενος ὁ βασιλεὺς, καὶ ὡς πάντες διηποροῦντο ἐπὶ τοῖς δώροις, ὁ Ἀντίγονος γελάσας πρὸς τοὺς φίλους ἔφη γινώσκειν τί βούλεται τὰ ξένια· ἢ γὰρ θαλαττοκρατεῖν ἡμᾶς φησὶ Πάτροκλος, ἢ τῶν σύκων τρώγειν.","Scio etiam quæ Phylarchus narrat de ingentibus piscibus, simulque cum his missis recentibus ficis: missa scilicet hæc dona esse a Patroclo, Ptolemæi duce copiarum, ad Antigonum regem, quibus animi sui sensum subobscure significaret, quemadmodum Scylhæ ad Darium terram ipsorum invadentem. Miserant enim hi, ut ait Herodotus, avem et sagittam et ranam. At Patroclus, ut tertio libro Historiarum Phylarchus narrat, missis prædictis ficis piscibusque. Compotabat autem tum forte Antigonus cum amicis: qui quum omnes de doni significatione ambigerent, ridens Antigonus, nosse se, ait, munus ilhid quid sibi vellet. Hoc enim dicit (inquit) Patroclus, aut maris imperium nobis esse obtinendum, aut rodendas ficus.","Schweighæuser. ᾐνίττετο suppleri vult ad ὅ γε Πάτροκλος. Fortasse plura exciderunt. Quid piscibus illis atque ficubus Patroclus Antigono significare voluerit, recte, ut puto, Brücknerus ita exposuit: pereundum omnino esse Macedonibus, ita ut aut si confligerent mari, in quo plurimum tum valebant Ægypti, præda fierent piscium, aut si terra bellum gererent, commeatus interirent inopia, nisi crudis arborum fructibus famen depellerent. Res gesta esse videtur post mortem Demetrii (Ol. 123, 2) atque ante obitum Ptolemæi Lagi (Ol. 124, 2), v. Pausan. I, 1, 1. (Πάτροκλος, ὃς τριήρεσιν ὑπεκπλεῖ ναύαρχος Αἰγυπτίαις, ἃς Πτολεμαῖος ὁ τοῦ Λάγου τιμωρεῖν ἔστειλεν Ἀθηναίοις, ὅτε σφίσιν Ἀντίγονος ὁ Δημητρίου στρατιᾷ τε αὐτὸς ἐσβεβληκὼς ἔφθειρε τὴν χώραν, καὶ ναυσὶν ἅμα ἐκ θαλάσσης κατεῖργεν). Eundem vero Patroclum postea quoque (Ol. 127) Ægyptiorum classi præfectum videmus (Lthenæus XIV, p. 621. A).",
"Volumen primum",,,PHYLARCHUS,"PHYLARCHI FRAGMENTA",HISTORIAE,,,"LIBER III",,,,,334,fragment,2,,,"Athenæus IV, 34, p. 150, D:","Ἐν δὲ τῇ τρίτῃ Φύλαρχος Ἀριάμνην φησὶ τὸν Γαλάτην πλουσιώτατον ὄντα ἐπαγγείλασθαι ἑστιᾶσαι Γαλάτας πάντας ἐνιαυτὸν, καὶ τοῦτο συντελέσαι ποιήσαντα οὕτως· κατὰ τόπους τῆς χώρας τὰς ἐπικαιροτάτας τῶν ὁδῶν διέλαβε σταθμοῖς, ἐπί τε τούτοις ἐκ χαράκων καὶ τῶν καλάμων τῶν τε οἰσυΐνων ἐπεβάλλετο σκηνὰς χωρούσας ἀνὰ τετρακοσίους ἄνδρας καὶ πελίους ἔτι, καθὼς ἂν ἐκποιῶσιν οἱ τόποι τό τ ̓ ἀπὸ τῶν πόλεων δέξασθαι καὶ τῶν κωμῶν μέλλον ἐπιῤῥεῖν πλῆθος. Ἐνταῦθα δὲ λέβητας ἐπέστησε κρεῶν παντοδαπῶν μεγάλους, οὓς πρὸ ἐνιαυτοῦ καὶ πρὸ τοῦ μέλλειν μεταπεμψάμενος τεχνίτας ἐξ ἄλλων πόλεων ἐχαλκεύσατο· θύματα δὲ καταβάλλεσθαι ταύρων καὶ συῶν καὶ προβάτων τε καὶ λοιπῶν κτηνῶν ἑκάστης ἡμέρας πολλὰ, πίθους τε οἴνου παρεσκευάσθαι καὶ πλῆθος ἀλφίτων πεφυραμένων. Καὶ οὐ μόνον, φησὶν, οἱ παραγινόμενοι τῶν Γαλατῶν ἀπὸ τῶν κωμῶν καὶ τῶν πόλεων ἀπέλαυον, ἀλλὰ καὶ οἱ παριόντες ξένοι ὑπὸ τῶν ἐφεστηκότων παίδων οὐκ ἠφίεντο, ἕως ἂν μεταλάβωσι τῶν παρασκευασθέντων.","Phylarchus tertio libro scribit: «Ariamnem Gallum, quum esset opulentissimus, edixisse, se Gallos omnes per integrum annumepulis excepturum; idque præstitisse, tali inita ratione. Diversis regionis tractibus opportunissimas vias mansionibus divisit; in quibus ex palis, arundinibus et viminibus tabernacula erexit, capientia quodque viros quadringenos, atque etiam amplius, ut saflicerent loca ad capiendam multitudinem ex oppidis et agris confluxuram. Ibi ingentia ahena disposuit omni genere carnium repleta, quæ superiori anno, priusquam exhibiturus convivium esset, per fabros ex aliis oppidis arcessitos conficienda curaverat. Cæsam autem quotidie esse magnam victimarum multitudinem, taurorum, suum, ovium, aliarumque pecudum; doliaque parata fuisse vini, et farinæ subactæ magnam copiam. Ac non modo, inquit, Gallorum quicumque ex agris et oppidis aderant, frebantur his quæparata erant; sed ne peregrini quidem, qui accedebant, ab adstantibus pueris dimittebantur, quin suam etiam partem accepissent.","Horum partem repetivit Eustathius ad Odyss. p. 1533, 56.",
"Volumen primum",,,PHYLARCHUS,"PHYLARCHI FRAGMENTA",HISTORIAE,,,"LIBER III",,,,,335,fragment,3,,,"Athenæus X, 4, p. 412, F:","Φύλαρχος δέ φησιν ἐν τῇ τρίῃ τῶν Ἱστοριῶν τὸν Μίλωνα ταῦρον καταφαγεῖν κατακλιθέντα πρὸ τοῦ βωμοῦ τοῦ Διός· διὸ καὶ ποιῆσαι εἰς αὐτὸν Δωριέα τὸν ποιητὴν τάδε· Τοῖος ἔην Μίλων, ὅτ ̓ ἀπὸ χθονὸς ἤρατο βρῖθος, τετραετῆ δαμάλην, ἐν Διὸς εἰλαπίναις, ὤμοις δὲ κτῆνος τὸ πελώριον ὡς νέον ἄρνα ἤνεγκεν δι ̓ ὅλης κοῦφα πανηγύρεως. Καὶ θάμβος μὲν, ἄτὰρ τοῦσε πλέον ἤνυσε θαῦμα, πρόσθεν Πισαίου, ξεῖνε, θυηπολίου. Ὅν γὰρ ἐπόμπευσεν βοῦν ἄζυγον, εἰς κρέα τόνδε κόψας, πάντα κατ ̓ οὖν μοῦνος ἐδαίσατό νιν.","Phylarchus in tertio libro Historiarum scribit, ante Jovis aram accumbentem Milonem comedisse taurum, eaque caussa Dorieum poetam hosce in illum versus fecisse: Talis erat Milo, quum a terra tolleret molem, quadrimam juvencam, Jovis in solennibus epuis; humerisque pecus ingens, tamquam novellum agnum, gestavit leviter totam per panegyrin. Et stupor quidem tenuit cunctos. Sed multo etiam majus ante Pisæum, hospes, altare. [patravit miraculum, Quem enim in pompa gestaverat bovem indomitum, hunc concisum totum solus comedit. [in frusta","Duo versus postremi leguntur etiam ap. Eustath. ad Od. p. 1523, 9. V. Jacobs. Animadv. ad Anthol. vol. II, P. II, p. 190.",
"Volumen primum",,,PHYLARCHUS,"PHYLARCHI FRAGMENTA",HISTORIAE,,,"LIBER IV",,,,,335,fragment,4,,,"Athenæus VIII, 6, p. 333, A:","Καὶ Φύλαρχος δ ̓ ἐν τετάρτῃ ἑορακέναι τινὰς πολλαχοῦ τὸν θεὸν ὕσαντα ἰχθύσι, πολλάκις δὲ καὶ πυροῖς, τοῦ αὐτοοῦ συμβαίνοντος καὶ ἐπὶ βατράχων.","Etiam Phglarchus, in quarto libro, scribit, vidisse nonnullos multis in locis pluisse piscibus, sæpe etiam tritico: quin et in ranis idem accidisse.","Qua occasione, Phylarchus hujus rei mentionem fecerit, indigitat Appianus Illyr. 4: Αὐταριέας (gentem Ιllyricam) δἐ καὶ ἐκ θεοβλαβείας Ἀπόλλωνος ἐς ἔσχατον κακοῦ περιελθεῖν. Μολιστόμῳ γὰρ αὐτοὺς καὶ Κελτοῖς τοῖς Κίμβροις λεγομένοις ἐπὶ Δελφοὺς συστρατεῦσαι, καὶ φθαρῆναι μὲν αὐτίκα τοὺς πλέονας αὐτῶν πρὸ ἐπιχειρήσεως, ὑετῶν σφίσι καὶ θυέλλης καὶ πρηστήρων ἐμπεσόντων. Ἐπιγενέσθαι δὲ τοῖς ὑποστρέψασιν ἄπειρον βατράχων πλῆθος, οἳ διασαπέντες τὰ νάματα διέφθειραν.",
"Volumen primum",,,PHYLARCHUS,"PHYLARCHI FRAGMENTA",HISTORIAE,,,"LIBER IV",,,,,335,fragment,5,,,"Athenæus IV, 64, p. 401, D:","Καὶ Αἰτωλῶν δὲ οἶδα στρατηγὸν Σύαγρον, οὗ μνημονεύει Φύλαρχος ἐν τετάρτῃ Ἱστοριῶν.","Memini Ætolorum prætorem Syagrum, cujus mentionem Phylarchus fecit quarto libro Historiarum.",,
"Volumen primum",,,PHYLARCHUS,"PHYLARCHI FRAGMENTA",HISTORIAE,,,"LIBER VI",,,,,335,fragment,6,,,"Athenæus XIV, 3, p. 614, E:","Φιλογέλως δ ̓ ἦν καὶ Δημήτριος ὁ Πολιορκητὴς, ὥς φησι Φύλαρχος ἐν τῇ ἕκτῃ τῶν Ἱστοριῶν· ὅς γε καὶ τὴν Λυσιμάχου αὐλὴν κωμικῆς σκηνῆς οὐδὲν διαφέρειν ἔλεγεν· ἐξιέναι γάρ ἀπ ̓ αὐτῆς πάντας δισυλλάβους (τόν τε Βίθυν χλευάζων καὶ τὸν Πάριν, μεγίστους ὄντας παρὰ τῷ Λυσιμάχῳ, καί τινας ἑτέρους τῶν φίλων), παρὰ δ ̓ αὑτοῦ Πευκέστας καὶ Μενελάους, ἔτι δὲ Ὀξυθέμιδας. Ταῦτα δ ̓ ἀκούων ὁ Λυσίμαχος, Ἐγὼ τοίνυν, ἔφη, πόρνην ἐκ τραγικῆς σκηνῆς οὐχ ἑώρακα ἐξιοῦσαν· τὴν αὐλητρίδα Λάμιαν λέγων. Ἀπαγγελθέντος δὲ καὶ τούτου, πάλιν ὑπολαβὼν ὁ Δημήτριος ἔφη, Ἀλλ ̓ ἡ παρ ̓ ἐμοῦ πόρνη σωφρονέστερον τῆς παρ ̓ ἐκείνῳ Πηνελόπης ζῇ.","Risuum jocorumque amicus fuit Demetrius quoque Poliorceta, ut Phylachus ait sexto libro Historiarum. Cujus etiam dictum fertur hujusmodi: Lysimachi aulam a comica scena nil diferre: nam ex ae non progredi nisi disyllabos (Bithyn nempe irridens, et Parin, qui plurimum apud Lysimachum nalebant, et alios nonnullos ex ejus amicis): a se vero egredi Peycestas, et Menelaos, item Oxgthemidas. Quibus auditis, Lysimachus: Atqui ego, inquit, meretricem numquam vidi e tragica scena prodeuntem: Lamiam dicens tibicinam. Quod dictum quum rursus Demetrio esset relatum, regessit ille: At quœ apud me est meretrix, ea honestius vivit quam illius Penelope.","Cf. Frag. XX et XXIX. Plutarchus in Demetrio c. 25, ubi eadem fere leguntur, ex Phylarcho hausisse videtur. De lucuriosa Demetrii vivendi ratione cf. Athen. VI, p. 253, A, Plutarch. Dem. c. 24, 27; Athen. XII, p. 535 sq., XII, p. 577 sq.",
"Volumen primum",,,PHYLARCHUS,"PHYLARCHI FRAGMENTA",HISTORIAE,,,"LIBER VI",,,,,335,fragment,7,,,"Athenæus X, 51, p. 438, C:","Φύλαρχος δὲ ἐν τῇ ἕκτῃ τῶν Ἱστοριῶν Ἀντίοχόν φησι τὸν βασιλέα φίλοινον γενόμενον μεθύσκεσθαί τε καὶ κοιμᾶσθαι ἐπὶ πλέον, οἶθ ̓ ἑσπέρας πάλιν ἀφυπνιζόμενον ἐπιπίνειν. Ἐχρημάτιζέ τε, φησὶ, νήφων μὲν βραχέα τελέως, μεθύων δὲ τὰ πολλά. Διὸ περὶ αὐτὸν δύο ἦσαν οἱ διοικοῦντες τὴν βασιλείαν, Ἄριστος καὶ Θεμίσων, Κύπριοι μὲν γένος καὶ ἀδελφοὶ, ἐρώμενοι δὲ ἀμφότεροι τοῦ Ἀντιόχου.","Phylarchus sexto libro Historiarum scribit, Antiochum regem vini studiosum fuisse, inebriari solitum, ac dein diutius somno sese dedere, tum tum rursus sub vesperam expergefactum denuo potare. Res quidem imperii raro admodum sobrius tractavit, ut plurimum vero ebrius. Quare circa eum semper versabantur qui regnum administrabant Aristus et Themison, fratres, genere Cyprii, ambo amasii regis.","Cf. Ælian. V. H. II, 41. Dubium est, utrum Antiochus Soter, ut Schweighæuserus vult, an cum Niebuhrio (Opusc. p. 268) Antiochus II Deus intelligendus sit. De Themisone cf. Athen. VII, p. 289, F.",
"Volumen primum",,,PHYLARCHUS,"PHYLARCHI FRAGMENTA",HISTORIAE,,,"LIBER VI",,,,,336,fragment,8,,,"Athenæus VI, 58, p. 251, C:","Φύλαρχος δὲ ἐν ἕκτῳ Ἱστοριῶν Νικησίαν φησὶ τὸν Ἀλεξάνδρου (Epiri regis) κόλακα θεασάμενον τὸν βασιλέα σπαρασσόμενον ὑφ ̓ οὗ εἰλήφει φαρμάκου εἰπεῖν, Ὦ βασιλεῦ, τί δεῖ ποιεῖν ἡμᾶς, ὅτε καὶ ὑμεῖς οἱ θεοὶ τοιαῦτα πάσχετε; καὶ τὸν Ἀλέξανδρον μόλις ἀναβλέψαντα, Ποῖοι θεοί; φῆσαι· φοβοῦμαι μὴ τοῖς θεοῖσιν ἐχθροί.","Phylarchus in sexto libro Historiarum, Nicesiam, ait, Alexandri assentatorem, quum regem videret a medicamento quod sumserat torminibus cruciari: Orex! inquit, nos quid faciemus, quum et vos dii talia patiamini? Et Alexandrum, ægre oculos tollentem, dixisse: Quales dii? vereor, ne diis invisi.","De Nicesia cf. Athen. p. 249, D.",
"Volumen primum",,,PHYLARCHUS,"PHYLARCHI FRAGMENTA",HISTORIAE,,,"LIBER VI",,,,,336,fragment,9,,,"Athenæus III, 21, p. 81, E:","Φύλαρχος δ ̓ ἐν τῇ ἕκτῃ τῶν Ἱστοριῶν τὰ κυδώνιά φησι μῆλα τῇ εὐωδίᾳ καὶ τὰς τῶν θανασίμων φαρμάκων δυνάμεις ἀπαμβλύνειν. Τὸ γοῦν Φαριακὸν φάρμακον ἐμβληθέν φησιν εἰς ῥίσκον ἔτι ὀδωδότα ἀπὸ τῆς τῶν μήλων τούτων συνθέσεως ἐξίτηλον γενέσθαι, μὴ τηρῆσαν τὴν ἰδίαν δύναμιν· κερασθὲν γοῦν καὶ δοθὲν πιεῖν τοῖς εἰς τοῦτο ἐνεδρευθεῖσιν ἀπαθεῖς αὐτοὺς διατηρῆσαι. Ἐπιγνωσθῆναι δὲ τοῦτο ὕστερον ἐξ ἀνακρίσεως τοῦ τὸ φάρμακον πωλήσαντος καὶ ἐπιγνόντος τὸ γενόμενον ἐκ τῆς τῶν μήλων συνθέσεως.","Phylarchus in sexto libro Historiarum, Cydonia mala, ait, sua fragrantia etiam vim letiferorum venenorum obtundere. Sane quidem Phariacum venenum, inquit, cistæ injectum adhuc olenti Cydonia mala, quæ in ea asservata fuerant, frustraneum fuisse, et vim sibi propriam amisisse: itaque mixtum et in potum exhibitum iis quibus tales insidiæ paratæ fuissent, nihil noxæ attulisse. Compertum id autem deinde esse ex perquisitione ejus, qui venenum vendiderat; qui cognovit, caussam rei fuisse mala, quæ in eadem cista servata fuissent.","Putat Luchtius hoc fragmentum cum præcedenti conjunctum fuisse videri. De Phariaco veneno Schneider. ad Nic. Alex. 398.",
"Volumen primum",,,PHYLARCHUS,"PHYLARCHI FRAGMENTA",HISTORIAE,,,"LIBER VI",,,,,336,fragment,10,,,"Athenæus X, 59, p. 442, C:","Φύλαρχος ἐν ἕκτῃ Βυζαντίους, οἰνόφλυγας ὄντας, ἐν τοῖς καπηλείοις οἰκεῖν, ἐκμισθώσαντας τοὺς ἑαυτῶν θαλάμους μετὰ τῶν γυναικὼν τοῖς ξένοις· πολεμίας σάλπιγγος οὐδ ̓ ἐν ὕπνοις ὑπομένοντας ἀκοῦσαι.","Phylarchus, libro sexto, Byzantios ait, ita vinosos esse, ut in cauponis habitent, suas ædes simul cum uxoribus elocantes peregrinis; bellicæ tubæ sonum ne in somno quidem exaudire sustinentes.",,
