volume,sub_volume,sub_volume_note,author,section,work,work_note,work_section,book,book_note,chapter,paragraph,sub_paragraph,page,type,fragment_number,fragment_letter,fragment_note,witness,text,translation,commentary,note
"Volumen primum",,,THEOPOMPUS,"THEOPOMPI FRAGMENTA","ΕΠΙΤΟΜΗ ΤΩΝ ΗΡΟΔΟΤΟΥ ΙΣΤΟΡΙΩΝ",,,,,,,,278,fragment,1,,,"Suidas in","Σπουδάζω .....ἐπὶ δὲ τοῦ κατεπείγομαι. Θεόπομπος Ἐπιτομῇ τῶν Ἡροδότου· ἐπὶ δὲ τοῦ βούλομαι, ὁ αὐτὸς ἐν τῇ αὐτῇ ἐπιτομῇ.","Σπουδάζω—pro κατεπείγομαι (festino): Theopompus in epitome Herodoti Historiarum; pro βούλομαι (volo): idem in eadem epitome.","Eadem habet Photius in Lex. h. v.",
"Volumen primum",,,THEOPOMPUS,"THEOPOMPI FRAGMENTA","ΕΠΙΤΟΜΗ ΤΩΝ ΗΡΟΔΟΤΟΥ ΙΣΤΟΡΙΩΝ",,,,,,,,278,fragment,2,,,"Grammaticus Seguerianus Anecd. Bekkeri p. 80.:","Ἀναβἠναι τὸν ἵππον ἐπὶ τοῦ ἐπιβῆναι· Θεόπομπος ἐν ἐπιτομῇ Ἡροδότου.","Ἀναβῆναι ἴππον pro ἐπιβῆναι (conscendere equum): Theopompus in Herodoti epitome.",,
"Volumen primum",,,THEOPOMPUS,"THEOPOMPI FRAGMENTA","ΕΠΙΤΟΜΗ ΤΩΝ ΗΡΟΔΟΤΟΥ ΙΣΤΟΡΙΩΝ",,,,,,,,278,fragment,3,,,"Idem ibid. p. 104:","Κακόβιος· Θεόπομπος ἐν τῇ ἐπιτομῇ Ἡροδότου.","Κακόβιος (dure vivens): Theopompus in Herodoti epitome.",,
"Volumen primum",,,THEOPOMPUS,"THEOPOMPI FRAGMENTA","ΕΠΙΤΟΜΗ ΤΩΝ ΗΡΟΔΟΤΟΥ ΙΣΤΟΡΙΩΝ",,,,,,,,278,fragment,4,,,"Idem, ibid. p. 115:","Φυγαδεῦσαι· τὸ φυγάδα ἐλάσαι. Θεόπομπος ἐπιτομῇ Ἡροδότου.","Φυγαδεύσαι, fugitivum propellere: Theopompus in Herodoti epitome.",,
"Volumen primum",,,THEOPOMPUS,"THEOPOMPI FRAGMENTA","ΕΠΙΤΟΜΗ ΤΩΝ ΗΡΟΔΟΤΟΥ ΙΣΤΟΡΙΩΝ",,,,,,,,278,fragment,5,,,Hesychius:,"Ζειρά· οἱ μὲν εἶδος χιτῶνος, οἱ δὲ ζώνην· βέλτιον δὲ ἄλλο τι ἐπιβόλαιον κατὰ τῶν ὤμων φορούμενον, ἐοικὸς ἐφαπτίδι· καὶ Ἡρόδοτος μαρτυρεῖ καὶ Θεόπομπος ὁ Χῖος.","Ζειρά; alii explicant tunicœ genus, alii cingulum; melius vero aliud quoddam indumentum humeris injectum, pallio simile fibula astricto, uti Herodotus testatur et Theopompus Chius.","V. Herodot. VII, 69 et 76 ibique interpretes. «Quoniam Theopompus una cum Herodoto ab Hesychio citatur, suspicor illum in hujus epitome conficienda hac voce usum esse, immo vero quum hunc ipsum Herodoti locum in epitomen redigeret.» Wichers.",
"Volumen primum",,,THEOPOMPUS,"THEOPOMPI FRAGMENTA",ΕΛΛΗΝΙΚΑ,,,"LIBER I",,,,,278,fragment,6,,,"Strabo XIII, p. 884:","Φησὶ δὲ τὴν Σεστὸν Θεόπομπος βραχεῖαν μὲν εὐερκῆ δὲ· καὶ σκέλει διπλέθρῳ συνάπτειν πρὸς τὴν λιμένα· καὶ διὰ ταῦτ ̓ οὖν καὶ διὰ ῥοῦν κυρίαν εἶναι τῶν παρόδων.","Theopompus Sestum ait exiguam quidem, sed probe munitam esse, et duorum jugerum muro cum portu conuexam: itaque cum ea de causa, tum ob fluxum præternavigationem in sua habere potestate.","Petita hæc videntur ex initio toius operis, ubi narranda erat pugna illa, qua Athenienses juxta Sestum commorantes vicerunt Lacedæmonios. Et Pharnabazum. Ol. 92, 2. Cf. Xen. Hell. 1, 2, 1-13, Diodor. XIII, 45, 46, qui, quum rem Xenophonte accuratius accuratius exponat, in multisque ab eo recedat, ducem habuerit Theopompum.",
"Volumen primum",,,THEOPOMPUS,"THEOPOMPI FRAGMENTA",ΕΛΛΗΝΙΚΑ,,,"LIBER I",,,,,278,fragment,7,,,Stephanus:,"Χρυσόπολις... Θεόπομπος ἐν πρώτῳ Ἑλληνικῶν· «Ἀνήχθησαν εἰς Χαλκηδόνα, καὶ Βυζάντιον μετὰ τοῦ λοιποῦ στατεύματος, βουλόμενοι Χρυσόπολιν κατασχεῖν.»","Clirysopolis... Theopompus in Berum Hellenicarum primo: «Revecti sunt Chalcedonem et Byzantium cum «reliquo exercitu, volentes Chrysopolin obtinere.»","V. Xenoph. Hell. I, 1, 22 sqq.; Diodor. XIII, 64. (Ol. 92, 4.)",
"Volumen primum",,,THEOPOMPUS,"THEOPOMPI FRAGMENTA",ΕΛΛΗΝΙΚΑ,,,"LIBER I",,,,,278,fragment,8,,,"Diodor. Sic. XIII, 105:","Οἱ δὲ τῶν Ἀθηναίων στρατηγοὶ πυθόμενοι τοὺς Λακεδαιμονίους πάσῃ τῇ δυνάμει πολιορκεῖν Λάμψακον, συνήγαγόν τε πανταχόθεν τριήρεις, καὶ κατὰ σπουδὴν ἀνήχθησαν ἐπ ̓ αὐτοὺς ναυσὶν ἑκατὸν ὀγδοήκοντα· εὑρόντες δὲ τὴν πόλιν ἡλωκυῖαν, τότε μὲν ἐν Αἰγὸς ποταμοῖς καθώρμισαν τὰς ναῦς· μετὰ δὲ ταῦτ ̓ ἐπιπλένοτεσ τοῖς, καθ ̓ ἡμέραν εἰς ναυμαχίαν προεκαλοῦντο. Οὐκ ἀνταναγομένων δὲ τῶν Πελοποννησίων, οἱ μὲν Ἀθηναῖοι διηπόρουν ὅ, τι χρήσωνται τοῖς πράγμασιν, οὐ δυνάμενοι τὸν πλείω χρόνον ἐκεῖ διατρέφειν τὰς δυνάμεις· Ἀλκιβιάδου δὲ πρὸς αὐτοὺς ἐλθόντος, καὶ λέγοντος ὅτι Μήδοκος καὶ Σεύθης οἱ τῶν Θρᾳκῶν βασιλεῖς εἰσὶν αὐτῷ φίλοι, καὶ δύναμιν πολλὴν ὡμολόγησαν δύσειν, ἐὰν βούληται διαπολεμεῖν τοῖς Λακεδαιμονίοις· διόπερ αὐτοὺς ἠξίου μεταδοῦναι τῆς ἠγεμονίας, ἐπαγγελλόμενος αὐτοῖς δυοῖν θάτερον, ἢ ναυμαχεῖν τοὺς πολεμίους ἀναγκάσειν, ἢ πεζῇ μετὰ θρᾳκῶν πρὸς πολεμίους ἀναγκάσειν, ἢ πεζῇ μετὰ Θρᾳκῶν πρὸς αὐτοὺς διαγωνιεῖσθαι. Ταῦτα δὲ ὁ Ἀλκιβιάδης ἔπραττεν, ἐπιθυμῶν δι ̓ ἑαυτοῦ τῇ πατρίδι μέγα τι κατεργάσασθαι, καἰ διὰ τῶν εὐεργεσιῶν τὸν δῆμον ἀποκαταστῆσαι εἰς τὴν ἀρχαίαν εὔνοιαν. Οἱ δὲ τῶν Ἀθηναίων στρατηγοὶ, νομίσαντες τῶν μὲν ἐλαττωμάτων ἑαυτοῖς τὴν μέμψιν ἀκολουθήσειν, τὰ δ ̓ ἐπιτεύγματα προσάψειν ἅπαντας Ἀλκιβιάδῃ, ταχέως αὐτὸν ἐκέλευσαν ἀπιέναι καὶ μηκέτι προσεγγίζειν τῷ στρατοπέδῳ.","Atheniensium præfecti certiores facti Lacedæmonios omnibus Lampsacum viribus oppugnare, triremes undecunque cogunt, et rapto illuc cursu cum octoginta et centum navibus trajiciunt. Asl ubi captam urbem accepere, tum quidem circa Ægospotamos ancoris naves sistunt. Postea vero in hostes evecti in dies ad certamen cos provocant. Sed quum Peloponnesii non occurrerent, dubitari ab Atheniensibus cœplum est, quomodo res gerere deberent, siquidem diutius ibi exercitum alendi facultas non daretur. Tum Alcibiades ad ipsos excurrens pro certo affirmat Medocum et Seuthen, Thracum reges, amicitia sibi junctos, magnas ad subsidium copias præbituros, si ipse bellum cum Lacedæmoniis pertexere velit. Imperii ergo militaris partem sibi concedi postulat, e duobus hisce alterum haud dubie promittens, se vel ad condictum navalem hostes adacturum, aut terrestri prœlio, adjuvantibus Thracibus, cum iis decertaturum. Hoc Alcibiadi negotium eo directum erat, ut quæ honestissima ejus cupido erat, præclarum patriæ facinus ederet, et beneficiorum magnitudine pristinam populi benevolentiam sibi reconciliaret. At duces Atheniensium hac opinione tenebantur, si res male gereretur, omnem culpam in se recasuram; sin prospere succederet, victoriæ decus Alcibiadi1 omnes vindicaturos. Quapropter ut continuo se inde amoliatur, nec unquam deinde propius ad exercitum accedat, serio edicunt.","Hæc, sicut quæ sequuntur c. 106, ex Theopompo desumta esse ipsa narratio a Xenophontea multum discrepans demonstrat. Ex eodem fonte sua hausit Cornel. Nep. Alcib. c. 8.",
"Volumen primum",,,THEOPOMPUS,"THEOPOMPI FRAGMENTA",ΕΛΛΗΝΙΚΑ,,,"LIBER II",,,,,279,fragment,9,,,Harpocrat.:,"Πεδάριτος... τῶν ἐκ Λακεδαίμονος ἐκπεμφθέντων ἔστιν οὗτος, ἁρμοστὴς ἀνὴρ, εἷς (quod omitt. Bekk.) τῶν γεγονότων καλῶν, ὡς φησὶ Θεόπομπος ἐν δεύτερᾳ Ἑλληνικῶν.","Pedaritus fuit unus harmostarum, qui Lacedæmone mittebantur; unus ex illis qui loco illustri erant nati.","Eadem Suidas, ubi vero Παιδάριτος legitur. Πεδάριτος habent Isocrat. p. 127, A, Thucyd. VIII, 28.",
"Volumen primum",,,THEOPOMPUS,"THEOPOMPI FRAGMENTA",ΕΛΛΗΝΙΚΑ,,,"LIBER II",,,,,279,fragment,10,,,"Plutarch. Lysandro p. 442, c. 17:","Καὶ Θεόπομπος μέν φησι Σκιραφίδαν, Ἔφορος δὲ Φλογίδαν εἶναι τὸν ἀποφηνάμενον ὡς οὐ χρὴ προσδεχεσθαι νόμισμα χρυσοῦν καὶ ἀργυροῦν εἰς τὴν πόλιν, ἀλλὰ χρῆσθαι τῷ πατρίῳ.","Sciraphidam Theopompus refert, Ephorus Phlogidam fuisse, qui non recipiendam in urbem monetam auream vel argenteam censuit, sed retinendam patriam.","Spectat ad ea, quæ Diodorus XIV, 10, de argento narrat ex vectigalibus devictarum civitatum a Lacedæmoniis contracto. Cf. Plutarch. Lys. 16, 17, Polyb. VI, 49.",
